"","x"
"33","Kapag ibinasura ang VAT sa langis at kuryente, ang mas makikinabang ay ang mga maykaya na kumukonsumo ng 84% ng langis at 90% ng kuryente habang mas masasaktan ang mahihirap na mawawalan ng P80 billion para sa mga programang pinopondohan ngayon ng VAT. [Applause] Take away VAT and we strip our people of the means to ride out the world food and energy crisis. [Applause]"
"34","We have come too far and made too many sacrifices to turn back now on fiscal reforms. Leadership is not about doing the first easy thing that comes to mind; it is about doing what is necessary, however hard. [Applause]"
"35","The government has persevered, without flip-flops, in its much-criticized but irreplaceable policies, including oil and power VAT and oil deregulation."
"36","Patuloy na gagamitin ng pamahalaan ang lumalago nating yaman upang tulungan ang mga pamilyang naghihirap sa taas ng bilihin at hampas ng bagyo, habang nagpupundar upang sanggahan ang bayan sa mga krisis sa hinaharap."
"37","Para sa mga namamasada at namamasahe sa dyip, sinusugpo natin ang kotong at colorum upang mapataas ang kita ng mga tsuper. [Applause] Si Federico Alvarez kumikita ng P200 a day sa kaniyang rutang Cubao-Rosario. Tinaas ito ng anti-kotong, anti-colorum ngayon P500 na ang kita niya. [Applause] Iyan ang paraan kung paano napananatili ang dagdag-pasahe sa P1 lamang. Halaga lang ng isang text. [Applause]"
"38","Texting is a way of life. I asked the telecoms to cut the cost of messages between networks. They responded. It is now down to 50 centavos. [Applause]"
"39","Noong Hunyo, nagpalabas tayo ng 4 bilyong piso mula sa VAT sa langis—2 bilyong pambayad ng koryente ng 4 milyong mahihirap, 1 bilyon para college scholarship o pautang sa 70,000 na estudyanteng maralita; [applause] kalahating bilyong pautang upang palitan ng mas matipid na LPG, CNG, o biofuel ang motor ng libu-libong jeepney; [applause] at kalahating bilyong pampalit sa fluorescent sa mga pampublikong lugar. [Applause]"
"40","Kung mapapalitan ng fluorescent ang lahat ng bumbilya, makatitipid tayo ng lampas P2 billion. [Applause]"
"41","Sa sunod na katas ng VAT, may P1 billion na pambayad ng kuryente ng mahihirap; kalahating bilyon para sa matatandang di sakop ng SSS o GSIS; kalahating bilyong kapital para sa pamilya ng mga namamasada; kalahating bilyon upang mapataas ang kakayahan at equipment ng mga munting ospital sa mga lalawigan. [Applause] At para sa mga kalamidad, angkop na halaga."
"42","We released P1 billion for the victims of typhoon Frank. We support a supplemental Western Visayas calamity budget from VAT proceeds,[applause] as a tribute to the likes of Rodney Berdin, age 13, of Barangay Rombang, Belison, Antique, who saved his mother, brother, and sister from the raging waters of Sibalom River. [Applause]"
"43","Mula sa buwang ito, wala nang income tax ang sumusweldo ng P200,000 o mas mababa sa isang taon—P12 billion na bawas-buwis para sa maralita at middle class. Maraming salamat, Congress. [Applause]"
"44","Ngayong may P32 na commercial rice, natugunan na natin ang problema sa pagkain sa kasalukuyan. Nagtagumpay tayo dahil sa pagtutulungan ng buong bayan sa pagsasaka, bantay-presyo, at paghihigpit sa price manipulation, sa masipag na pamumuno ni Artie Yap. [Applause]"
"45","Sa mga LGU at religious groups na tumutulong dalhin ang NFA rice sa mahihirap, maraming salamat sa inyo. [Applause]"
"46","Dahil sa subsidy, NFA rice is among the region’s cheapest. While we can take some comfort that our situation is better than many other nations, there is no substitute for solving the problem of rice and fuel here at home. In doing so, let us be honest and clear eyed—there has been a fundamental shift in global economics. The price of food and fuel will likely remain high. Nothing will be easy; the government cannot solve these problems over night. But we can work to ease the near-term pain while investing in long-term solutions. [Applause]"
"47","Since 2001, new irrigation systems for 146,000 hectares, including Malmar in Maguindanao and North Cotabato, Lower Agusan, Casecnan and Aulo in Nueva Ecija, Abulog-Apayao in Cagayan and Apayao, Addalam in Quirino and Isabela among others, and the restoration of old systems on another 980,000 hectares have increased our nation’s irrigated land to a historic 1.5 million hectares. [Applause]"
"48","Edwin Bandila, 48 years old, of Ugalingan, Carmen, North Cotabato, cultivated 1 hectare and harvested 35 cavans. Thirteen years na ginawa iyong Malmar. In my first State of the Nation Address, sabi ko kung hindi matapos iyon sa Setyembre ay kakanselahin ko ang kontrata, papapasukin ko ang engineering brigade, natapos nila. With Malmar, now he cultivates 5 hectares [applause] and produces 97 cavans per hectare. Mabuhay, Edwin! VAT will complete the San Roque-Agno River project. [Applause]"
"49","The Land Bank has quadrupled loans for farmers and fisherfolk. That is fact not fiction. Check it. For more effective credit utilization, I instructed DA to revitalize farmers cooperatives. [Applause]"
"50","We are providing seeds at subsidized prices to help our farmers."
"51","Incremental Malampaya national revenues of P4 billion will go to our rice self-sufficiency program. [Applause]"
"52","Rice production since 2000 increased an average of 4.07% a year, twice the population growth rate. By promoting natural planning and female education, we have curbed population growth to 2.04% during our administration, down from the 2.36% in the 1990s, when artificial birth control was pushed. [Applause] Our campaign spreads awareness of responsible parenthood regarding birth spacing. Long years of pushing contraceptives made it synonymous to family planning. Therefore, informed choice should mean letting more couples, who are mostly Catholics, know about natural family planning. [Applause]"
"53","From 1978 to 1981, nag-export tayo ng bigas. Hindi tumagal. But let’s not be too hard on ourselves. Panahon pa ng Kastila bumibili na tayo ng bigas sa labas. While we may know how to grow rice well, topography doesn’t always cooperate."
"54","Nature did not gift us with a mighty Mekong like Thailand and Vietnam, with their vast and naturally fertile plains. Nature instead put our islands ahead of our neighbors in the path of typhoons from the Pacific. So, we import 10% of the rice we consume."
"55","To meet the challenge of today, we will feed our people now, not later, and help them get through these hard times. To meet the challenges of tomorrow, we must become more self-reliant, self-sufficient, and independent, relying on ourselves more than on the world. [Applause]"
"56","Now we come to the future of agrarian reform."
"57","There are those who say it is a failure, that our rice importations prove it. There are those who say it is a success—if only because anything is better than nothing. Indeed, people are happier owning the land they work, no matter what the difficulties."
"58","Sa SONA noong 2001, sinabi ko, bawat taon, mamamahagi tayo ng 200,000 ektarya sa reporma sa lupa: 100,000 hectares of private farmland; and 100,000 of public farmland, including ancestral domains. Di hamak mahigit sa target ang naipamahagi natin sa nakaraang pitong taon: 854,000 hectares of private farmland, 797,000 of public farmland, and Certificates of Ancestral Domain for 525,000 hectares. [Applause] Including, over a 100,000 hectares for the Bugkalots in Quirino, Aurora, and Nueva Vizcaya. After the release of their CADT, Rosario Camma, Bugkalot chieftain, and now mayor of Nagtipunan, helped his 15,000-member tribe develop irrigation, plant vegetables and corn, and achieve food sufficiency. Mabuhay, Chief! [Applause]"
"59","Agrarian reform should not merely subdivide misery, it must raise living standards. Ownership raises the farmer from his knees but productivity will keep him on his feet."
"60","Sinimula ng aking ama ang land reform noong 1963. Upang mabuo ito, the extension of CARP with reforms is top priority. [Applause] I will continue to do all I can for the rural as well as urban poor. Ayaw natin na paglaya ng tenant sa landlord, mapapasa-ilalim naman sa usurero. Former tenants must be empowered to become agribusinessmen by allowing their land to be used as collateral. [Applause]"
"61","Dapat mapalaya ng reporma sa lupa ang magsasaka sa pagiging alipin sa iba. Dapat bigyan ang magsasaka ng dangal bilang taong malaya at di hawak ninuman. We must curb the recklessness that gives land without the means to make it productive and bites off more than beneficiaries can chew. [Applause]"
"62","At the same time, I want the rackets out of agrarian reform: [applause] the threats to take and therefore undervalue land, the conspiracies to overvalue it."
"63","Be with me on this. There must be a path where justice and progress converge. Let us find it before Christmas. [Applause] Dapat nating linisin ang landas para sa mga ibig magpursige sa pagsasaka, taglay ang pananalig na ang lupa ay sasagip sa atin sa huli kung gamitin natin ito nang maayos."
"64","Along with massive rice production, we are cutting costs through more efficient transport. For our farm-to-market roads, we released P6 billion in 2007."
"65","On our nautical highways. RORO boats carried 33 million metric tons of cargo and 31 million passengers in 2007. We have built 39 RORO ports during our administration, 12 more are slated to start within the next two years. In 2003, we inaugurated the Western Nautical Highway from Batangas through Mindoro, Panay and Negros to Mindanao. This year we launched the Central Nautical Highway from Bicol mainland through Masbate, Cebu, Bohol and Camiguin to Mindanao mainland. [Applause] These developments strengthen our competitiveness."
"66","Leading multinational company Nestle cut transport costs and offset higher milk prices abroad. Salamat, RORO. [Applause] Transport costs have become so reasonable for bakeries like Gardenia, a loaf of its bread in Iloilo is priced the same as in Laguna and Manila. Salamat muli sa RORO. [Applause]"
"67","To the many LGUs who have stopped collecting fees from cargo vehicles, maraming, maraming salamat. [Applause]"
"68","We are repaving airports that are useful for agriculture, like Zamboanga City Airport. [Applause]"
"69","Producing rice and moving it cheaper addresses the supply side of our rice needs. On the demand side, we are boosting the people’s buying power."
"70","Ginagawa nating labor-intensive ang paggawa at pag-ayos ng kalsada at patubig. Noong SONA ng 2001, naglunsad tayo sa NCR ng patrabaho para sa 20,000 na out of school youth, na tinawag na OYSTER. Ngayon, mahigit 20,000 ang ineempleyo ng OYSTER sa buong bansa. [Applause] In disaster-stricken areas, we have a cash-for-work program."
"71","In training, 7.74 million took technical and vocational courses over the last seven years, double the number in the previous 14 years. In 2007 alone, 1.7 million graduated. Among them are Jessica Barlomento now in Hanjin as supply officer, Shenve Catana, Marie Grace Comendador, and Marlyn Tusi, lady welders, congratulations. [Applause]"
"72","In microfinance, loans have reached P102 billion or 30 times more than the P3 billion we started with in 2001, with a 98% repayment record, congratulations! [Applause] Major lenders include the Land Bank with P69 billion, the Peoples’ Credit and Finance Corporation P8 billion, the National Livelihood Support Fund P3 billion, DBP P1 billion, and the DSWD’s SEA-K P800 million. For partnering with us to unleash the entrepreneurial spirit, thank you, Go Negosyo and Joey Concepcion. [Applause]"
"73","Upland development benefits farmers through agro-forestry initiatives. Rubber is especially strong in Zamboanga Sibugay and North Cotabato. [Applause] Victoria Mindoro, 56 years old, used to earn P5,000 a month as farmer and factory worker. Now she owns 10 hectares in the Goodyear Agrarian Reform Community in Kabasalan, Zamboanga Sibugay, earning P10,000 a week. [Applause] With 1 hectare, Pedro and Concordia Faviolas of Makilala, North Cotabato, sent their six children to college, bought two more hectares, and earn P15,000 a month. Congratulations! [Applause]"
"74","Jatropha estates are starting in 900 hectares in and around Tamlang Valley in Negros Oriental; 200 in CamSur; 300 in GenSan, 500 in Fort Magsaysay near the Cordero Dam, and 700 in Samar, among others."
"75","In our 2006 SONA, our food baskets were identified as North Luzon and Mindanao."
"76","The sad irony of Mindanao as food basket is that it has some of the highest hunger in our nation. It has large fields of high productivity, yet also 6 of our 10 poorest provinces."
"77","The prime reason is the endless Mindanao conflict. A comprehensive peace has eluded us for half a century. But last night, differences on the tough issue of ancestral domain were resolved. Yes, there are political dynamics among the people of Mindanao. Let us sort them out with the utmost sobriety, patience, and restraint. I ask Congress to act on the legislative and political reforms that will lead to a just and lasting peace during our term of office. [Applause]"
"78","The demands of decency and compassion urge dialogue. Better talk than fight, if nothing of sovereign value is anyway lost. Dialogue has achieved more than confrontation in many parts of the world. This was the message of the recent World Conference in Madrid organized by the King of Saudi Arabia, and the universal message of the Pope in Sydney."
"79","Pope Benedict’s encyclical Deus Caritas Est reminds us: “There will always be situations of material need where help in the form of concrete love for neighbour is indispensable.”"
"80","Pinagsasama-sama natin ang mga programa ng DSWD, DOH, GSIS, SSS, at iba pang lumalaban sa kahirapan sa isang National Social Welfare Program para proteksyonan ang pinakamahihirap mula sa pandaigdigang krisis, and to help those whose earnings are limited by illness, disability, loss of job, age, and so on—through livelihood projects, microfinance, skills and technology transfer, emergency and temporary employment, pension funds, food aid and cash subsidies, child nutrition and adult health care, medical missions, salary loans, insurance, housing programs, educational and other savings schemes, and now cheaper medicine—thanks to Congress. [Applause]"
"81","The World Bank says that in Brazil, the income of the poorest 10% has grown 9% per year versus the 3% for the higher income levels due in large part to their family stipend program linking welfare checks to school attendance. We have introduced a similar program, Pantawid Pamilya."
"82","Employers have funded the two increases in SSS benefits since 2005. Thank you, employers, for paying the premiums. [Applause]"
"83","GSIS pensions have been indexed to inflation and have increased every year since 2001. Its salary loan availments have increased from two months equivalent to 10 months, the highest of any system public or private—while repayments have been stretched out."
"84","Pag-Ibig housing loans increased from P3.82 billion in 2001 to P22.6 billion in 2007. This year it experienced an 84% increase in the first four months alone. [Applause] Super heating na. Dapat dagdagan ng GSIS at buksan muli ng SSS ang pautang sa pabahay. I ask Congress to pass a bill allowing SSS to do housing loans beyond the present 10% limitation. [Applause]"
"85","Bago ako naging Pangulo, 1.5 milyong maralita lamang ang may health insurance. Noong 2001, sabi natin, dadagdagan pa ng kalahating milyon. Sa taong iyon, mahigit 1 milyon ang nabigyan natin. Ngayon, 65 milyong Pilipino na ang may health insurance, mahigit doble ng 2000, kasama ang 15 milyong maralita. [Applause] PhilHealth has paid P100 billion for hospitalization. The indigent beneficiaries largely come from Central and West Visayas, Central Luzon, and Ilocos. Patuloy nating palalawakin itong napaka-importanteng programa, lalo na sa Tawi-Tawi, Zamboanga Norte, Maguindanao, Apayao, Dinagat, Lanao Sur, Northern Samar, Masbate, Abra, and Misamis Occidental. Lalo na sa kanilang mga magsasaka at mangingisda. [Applause]"
"86","In these provinces and in Agusan Sur, Kalinga, Surigao Sur, and calamity-stricken areas, we will launch a massive school feeding program at P10 per child every school day."
"87","Bukod sa libreng edukasyon sa elementarya at high school, nadoble ang pondo para sa mga college scholarships, while private high school scholarship funds from the government have quadrupled."
"88","I have started reforming and clustering the programs of the DepEd, CHED, and TESDA."
"89","As with fiscal and food challenges, the global energy crunch demands better and more focused resource mobilization, conservation, and management."
"90","Government agencies are reducing their energy and fuel bills by 10%, emulating Texas Instruments and Philippine Stock Exchange who did it last year. Congratulations, Justice Vitug and Francis Lim. [Applause]"
"91","To reduce power system losses, we count on government regulators and also on EPIRA amendments."
"92","We are successful in increasing energy self-sufficiency—56%, the highest in our history. We promote natural gas and biofuel; geothermal fields, among the world’s largest; windmills like those in Ilocos and Batanes; and the solar cells lighting many communities in Mindanao. The new Galoc oil field can produce 17,000 to 22,000 barrels per day, 1/12 of our crude consumption."
"93","The Renewable Energy Bill has passed the House. Thank you, Congressmen and Congresswomen. [Applause]"
"94","Our costly commodity imports like oil and rice should be offset by hard commodities exports like primary products, and soft ones like tourism and cyberservices, at which only India beats us."
"95","Our P350 million training partnership with the private sector should qualify 60,000 for call centers, medical transcription, animation, and software development, which have a projected demand of 1 million workers generating $13 billion by 2010."
"96","International finance agrees with our progress. Credit rating agencies have kept their positive or stable outlook on the country. Our world competitiveness ranking rose five notches. Congratulations to us. [Applause]"
"97","We are sticking to, and widening, the fiscal reforms that have earned us their respect."
"98","To our investors, thank you for your valuable role in our development. [Applause] I invite you to invest not only in factories and services, but in profitable infrastructure, following the formula for the Tarlac-Pangasinan-La Union Expressway. [Applause]"
"99","I ask business and civil society to continue to work for a socially equitable, economically viable balance of interests. Mining companies should ensure that host communities benefit substantively from their investments, and with no environmental damage from operations. [Applause]"
"100","Our administration enacted the Solid Waste Management Act, Wildlife Act, Protection of Plant Varieties, Clean Water Act, Biofuels Act, and various laws declaring protected areas."
"101","For reforestation, for next year we have budgeted P2 billion. [Applause] Not only do forests enhance the beauty of the land, they mitigate climate change, a key factor in increasing the frequency and intensity of typhoons and costing the country 0.5% of the GDP. [Applause]"
"102","We have set up over 100 marine and fish sanctuaries since 2001. In the whale shark sanctuary of Donsol [Sorsogon], Alan Amanse, a 40-year-old college undergraduate and father of two, was earning P100 a day from fishing and driving a tricycle. Now as whale shark-watching officer, he earns P1,000 a day, 10 times his former income. [Applause]"
"103","For clean water, so important to our health, there is P500 million this year and P1.5 billion for next year."
"104","From just one sanitary landfill in 2001, we now have 21, with another 18 in the works."
"105","We launched the Zero Basura Olympics to clear our communities of trash. Rather than more money, all that is needed is for each citizen to keep home and workplace clean, and for garbage officials to stop squabbling. [Applause]"
"106","Our investments also include essential ways to strengthen our institutions of governance in order to fight the decades-old scourge of corruption. I will continue to fight this battle every single day. [Applause] While others are happy with headlines through accusation without evidence and privilege speeches without accountability, we have allocated more than P3 billion—the largest anti-graft fund in our history—for real evidence gathering and vigorous prosecution. [Applause]"
"107","From its dismal past record, the Ombudsman’s conviction rate has increased 500%. [Applause] Lifestyle checks, never seriously implemented before our time, have led to the dismissal and/or criminal prosecution of dozens of corrupt officials. [Applause]"
"108","I recently met with the Millennium Challenge Corporation, a U.S. agency that provides grants to countries based on governance. They have commended our gains, contributed P1 billion to our fight against graft, and declared us eligible for more grants. Thank you! [Applause]"
"109","Last September, we created the Procurement Transparency Group in the DBM and linked it with business, academe, and the Church, to deter or catch anomalies in government contracts."
"110","On my instruction, the BIR and Customs established similar government-civil society tie-ups for information gathering and tax evasion and smuggling monitoring."
"111","More advanced corruption practices require a commensurate advances in legislative responses. Colleagues in Congress, we need a more stringent Anti-Graft Act. [Applause]"
"112","Sa pagmahal ng bilihin, hirap na ang mamimili—tapos, dadayain pa. Dapat itong mahinto. Hinihiling ko sa Kongreso na magpasa ng Consumer Bill of Rights laban sa price gouging, false advertising, at iba pang gawain kontra sa mamimili. [Applause]"
"113","I call on all our government workers at the national and local levels to be more responsive and accountable to the people. Panahon ito ng pagsubok. Kung saan kayang tumulong at dapat tumulong ang pamahalaan, we must be there with a helping hand. Where government can contribute nothing useful, stay away. Let’s be more helpful, more courteous, more quick."
"114","Kaakibat ng ating mga adhikain ang tuloy na pagkalinga sa kapakanan ng bawat Pilipino. Iisa ang ating pangarap—maunlad at mapayapang lipunan, kung saan ang magandang kinabukasan ay hindi pangarap lamang, bagkus natutupad. [Applause]"
"115","Sama-sama tayo sa tungkuling ito. May papel na gagampanan ang bawat mamamayan, negosyante, pinunong bayan, at simbahan, sampu ng mga nasa lalawigan."
"116","We are three branches but one government. We have our disagreements; we each have hopes, and ambitions that drive and divide us, be they personal, ethnic, religious, and cultural. But we are one nation with one fate. [Applause]"
"117","As your President, I care too much about this nation to let anyone stand in the way of our people’s well-being. Hindi ko papayagang humadlang ang sinuman sa pag-unlad at pagsagana ng taong bayan. [Applause] I will let no one—and no one’s political plans—threaten our nation’s survival. [Applause]"
"118","Our country and our people have never failed to be there for us. We must be there for them now. [Applause]"
"119","Maraming salamat. Magandang gabi sa inyong lahat. [Applause] [Standing ovation]"
"120"," "
