"","x"
"61","From all the foregoing, it is quite clear that public participation in pre­serving peace and order is an important element of the total effort that I propose to undertake against crime and lawlessness. Before my term is over, I wish to see that this public participation, among others in the form of greater vigilance, more active support of public agencies by means of voluntary testimony, and the like, shall have become more assertive and consistent. I cannot stress too much that the citizenry has a crucial role in determining the conditions in which it shall live."
"62","I have therefore directed the Armed Forces to undertake a program over the next five years aimed at developing a self-reliant defense posture. This program will entail the expenditure of P1.5 billion, or an annual appropriation of P300 million, exclusive of current yearly outlays for the Armed Forces."
"63","I am certain our people share my determination that this program be carried out successfully, so that the national desire to achieve unilateral defense capabilities shall be fulfilled without unnecessary delay. There are two basic requirements for the fulfillment of this national goal. We must, on the one hand, expand the concept of citizenship training for defense."
"64","The second requirement for the success of this program is adequate equip­ment. This will assume increasing importance in the next few years because of the diminishing assistance through the military assistance program, and the gradual withdrawal of American military forces in the Far East."
"65","Our military authorities are even now evolving a training program geared to nonconventional warfare capabilities, using indigenous materials for wartime requirements."
"66","I realize that to safeguard the nation adequately from any external or internal threat to its security and to the peaceful pursuit of its aspirations, we need more than improvements in the organization and resources of our defense establishment. A more important requirement is the solidarity of mind and purpose among our people, that essential loyalty to flag and country which is the key to national stability and genuine progress. I therefore take this oppor­tunity to call on all segments of society once again to provide our government the moral support for our program of national security and survival."
"67","The performance of the economy during this period may be the subject of a number of plausible interpretations."
"68","Today, we have conflicting viewpoints about our economy. The pessimists see, for instance, the following failings or deficiencies in our society, and on such a basis, predict our collapse:"
"69","Application of these capabilities had, as confluence, the growth of national income at the average annual rate of 6.2% between 1965 and 1969, exceeding the 5% growth target set by the United Nations for the development decade of the 1960s; the increase in export earnings from $737 million in 1965 to P1,118 million in 1971; the emergence of new products in industry and agriculture; the adoption of high-yielding varieties in rice agriculture; the growth of retail supermarkets; and the gradual diversification of the regional and product composition of our exports."
"70","One outstanding feature of our recent experience is that when the private sector and the government act in concert, their combined efforts result in almost immediate solution to difficult economic problems. As a result, the per­formance of the economy in the past six years, compared to achievements in previous periods as well as the performance of other democratic countries, is something that we can be proud of."
"71","For instance, our development plan in fiscal year 1970 was planned at a rate of 5% growth. The actual growth of the economy in real terms (in constant 1967 prices) was 6.4% that fiscal year. Our revised develop­ment plan for FY 1971-1974 set a target growth rate of 4.5% for fiscal year 1971 in view of the anticipated effects of the fiscal and monetary stabiliza­tion program. All things considered, the actual growth rate for the same period was 5.5%, in excess of 1% over target."
"72","It is in line with these facts that in the adoption of a rolling Four-Year Development Plan for FY 1972-1975, the growth targets of performance against which we have matched our resources have been raised. In fiscal year 1972, the current one, our aim is to raise the economy’s growth by 6.5%. Based on the economy’s performance this year of 6.5% expansion, we are now on the way to achieving our fiscal year 1972 targets for the economy. Thereafter, we aim to attain a 7% annual growth rate."
"73","In this vein, we have addressed the development program to respond to the social needs of our people. The social programs which recur in every sectoral plan for the economy is designed to cut unemployment, boost incomes, elevate living and health standards, and provide essential utilities like power and water in the rural areas."
"74","Through an all-out strategy of land reform, land distribution, food produc­tion campaigns, and general welfare projects, the social programs all hope to eliminate the prime sources of social discontent."
"75","The monetary crisis at the beginning of 1970, for instance, was due in large part to the unhistoric combination of a drop in world prices of coconut products and a contraction in Philippine coconut production in 1969. The drop in prices was due mainly to developments in the countries that buy our coconut products, which is outside of our control, and the latter was in turn due to the heavy typhoons late in 1968. As a consequence of these two external factors, exports of coconut products decreased by $73 million in 1969 and this accounted for more than one-half of the $137 million balance of payments deficit in that year."
"76","The calamities wrought by typhoons in 1968 were repeated towards the end of 1970. This time, the calamities wrought havoc to rice and corn production and distribution in the Bicol region, thence in Central Luzon, and finally in Cotabato. Before the farmers could recover from the ravages wrought by the typhoons, the tungro disease crept in and aborted the natural upturn in rice production. As a consequence, consumer prices continued to rise in late 1970 and 1971 and rice had to be imported to supplement domestic supplies."
"77","The slower growth of exports in 1971, compared to the previous year, as another example, was brought about by adverse developments in the world market reminiscent of what happened in 1969. This time, the factors that operated during the second half of 1971 were the port strikes in the United States and the disturbances in world trade and payments brought about by the August 15, 1971, dollar defense measures of President Nixon. The adverse effect of these factors was manifested in the decrease in world prices and physical volume of demand for lumber products, copper, and coconut products."
"78","While we have thus shown that economic difficulties could be solved, we have yet to contend with the problem of consolidating the gains we have achieved in certain areas as, at the same time, we go on to other fields of endeavor for sustaining the momentum of economic development. We have yet to acquire the reserves to meet temporary shortfalls, such as those brought about by adverse weather conditions, crop infestation, and international developments, without having to sacrifice the new programs that would yield the continuity of our economic progress."
"79","The requirements for much faster growth are basically tied to economic policy reforms of a sweeping character. We have tried to spell these out in the present Four-Year Development Plan."
"80","Some of these we have already done. We have instituted basic changes, especially the exchange rate reform we adopted in 1970. But this measure still requires further complementation from various policies that are part of a consistent framework."
"81","Our quest for the combination that would bring about the full realization of our economy’s potentialities therefore continues. Finding the right combina­tion is urgent not only because of the inexorable pressure of our expanding population, but also because the complexity of economic operations rises with the level of economic activities. We are not looking for ad hoc solutions, but rather we are searching for structural changes."
"82","But in the meantime that the mind of Congress is not made up, we have to make do with patchwork changes designed to restructure tariffs to the end that we may better be able to encourage local production, improve customs administration and collection turnover, conserve foreign exchange, and promote other economic goals."
"83","This year, two important executive actions undertaken by powers given to me by Congress led to a rewriting of some parts of the present Tariff Code. The real achievement of these recent tariff changes relates not to the span of ground covered, but more importantly, to the “overall” consistency that the rehashed package now lends to a once disorganized and voluminous tariff code. The “overall” approach that I hope will be adopted by Congress is a far cry from the patchwork remedies that we have had to do in the meantime."
"84","True, government coordinating and planning efforts are still engaged in restructuring our external debt through an orderly phasing out of amortizations along with a calculated dosage of new debts incurred."
"85","In the inaugural meeting of the Consultative Group in Paris last year, our credit relations with the total world community were favorably assessed. The Consultative Group, which is instituted by the World Bank, is the forum for aid coordination and development assistance from both bilateral and multilateral sources, with four major countries as members and seven others as observers, and five major international bodies."
"86","I am proud to report that we are getting increasing support from the inter­national financial community. During 1971, external financial assistance with long-term maturities was extended to the Philippines in the amount of $145.9 million."
"87","The external financial assistance already extended in 1971 came from:"
"88","U.S. Government"
"89","Under P. L. 480 ……………..   $20.3"
"90","Rural Electrification ……………..  .6          $20.9"
"91","Government of Japan"
"92","Commodity Loan ………………   40.0"
"93","Rice ………………………………..     1.4            41.4"
"94","IBRD"
"95","Rice Storage …………………….   14.3"
"96","Cotabato-Digos Road ……………   8.0            22.3"
"97","ADB"
"98","Fisherman’s Wharf ……………..   5.5"
"99","Mindanao Power Project ……   23.4            28.9"
"100","West German Governemnt (Ports) …………………………..  6.1"
"101","Government of Denmark (Irrigation) …………………….  3.9"
"102","Government of China, Taiwan (Rice) ………………….. 10.0"
"103","Government of Thailand (Rice) ………………………….   12.4"
"104","Total ……………………………   $145.9"
"105","In addition lo those long-term credits that had been contracted, we also had credits under negotiations, amounting to $165 million at the end of 1971."
"106","Japanese Project Loan …………………………   $25.0"
"107","U. S. Government Loan"
"108","Under P.L. 480 ……………………………  30.0"
"109","Rural Electrification ……………………  20.0"
"110","IBRD Loans"
"111","Power Project …………………………….  15.0"
"112","Cattle Project ……………………………….  7.0"
"113","Education Project ……………………….  50.0"
"114","ADB Loan for Power Project …………………   18.5"
"115","Total ……………………………   $165.5"
"116","The total, therefore, of all long-term credits extended and under negotia­tions amounted to $311.4 million in 1971, the magnitude of which is evidence of the confidence of the international community in the Philippine government."
"117","In this connection, I must add that we just recently submitted a country program proposal for United Nations Development Program (UNDP) assistance amounting to $20 million covering the fiscal years 1972 to 1976. This document has been acted upon and approved by the UNDP governing council. The assistance therein requested is designed to utilize inputs from different specialized UN agencies primarily for realizing the targets in the development plan to which the proposal has actually been annexed. In addition, we continue to receive supplementary assistance from other UN Agencies and other bilateral sources of technical cooperation and assistance."
"118","The moderate growth in credit and money supply assured stability and growth in the economy. As all of you know, excessive money supply and credit create demand which results in increased prices and imports, thus endangering international reserves."
"119","In 1971, the international reserves reached $245 million. $35.5 million higher than its $209.4 million level on December 31, 1970, or about twice the level in December 1960. This level of reserves was achieved despite heavy external debt service payments and adverse international monetary and trade developments during the second half of 1971."
"120","The debt payments in 1971 totaled $471.5 and, as a result, the total debt of the Philippines was reduced by $100 million by December 1971 as compared with the December 1970 level."
"121","The general economic outlook in 1972 appears to be brighter in certain areas than the actual picture in the year just past. The currency realignment should bring about an expansion in world trade and an increase in the demand for Philippine exports."
"122","The government’s program to devote a great deal of its resources to food production and infrastructure that will facilitate production and transportation will result in lower prices which will be to the advantage of the wage earners. In addition, the building of more rural banks will provide the credit for productive rural economic activities."
"123","The frontline of production, as always, consists of the agricultural and the industrial sectors. Concurrent and articulated growth of production in these two areas remain our emphasis; as growth in industrial production proceeds, agri­culture is bound to be influenced in the direction of rationalization, in effect the industrialization of the agricultural process, which I feel will achieve our goals of development."
"124","We will promote the energetic flow of capital into both agricultural and industrial production. Thus we must try to stem the rising tide of government expenditure, the bulk of which are devoted to operating expenses, and shift as much of it as possible to capital investment needs of production."
"125","This year the Central Bank hopes to complete a survey which can lead to an expanded, socially oriented banking system capable of more equitable alloca­tion of resources to all levels of the population. This can be done by increasing the rural banking system, one bank in each municipality for example, with as many stockholders as possible drawn from the community itself."
"126","On my instructions, efforts have already been started to reverse the trend in the expenditures under the general fund for capital investment and administra­tive operating expenses. Here are the figures."
"127","In 1971, the current operating expenditures comprised 83% of the general fund, while capital outlay was a mere 12%."
"128","In FY 1972, we have set aside 86% for current operating expenses, and 14% for capital outlay."
"129","In FY 1973, we are allotting 82% for current operating expenditures, and 18% for capital outlay."
"130","This steady upward trend in capital outlays compared to current operating expenditures will, I hope, continue beyond 1973."
"131","At the same time I have laid new emphasis on the diffusion of the benefits of development. I intend to provide, on as large a scale as the resources available will provide, programs with three objectives:"
"132","First, a massive regional development program, to uplift depressed regions of the country. This will involve the preparation and implementation of a regional development program for each of the country’s 10 regions, and the breaking up of government offices and agencies into regional offices, as specified under the Reorganization Plan. We propose to begin this program with the regions of Mindanao."
"133","Second, a program implementing a national employment policy. While paying lip service to the principles of labor-intensive production, most of our incentives still tend to favor capital-intensive technology. We shall formulate and implement the program to ensure the highest possible levels of employ­ment."
"134","Third, a long-term agricultural procurement and production program, to ensure the masses of the ready and reasonable availability of basic foodstuffs."
"135","The second category of programs involves the involvement of the environment and living conditions of the masses. These include programs for mass low-cost housing and rural electrification. These also include improvement of the basic services the government provides the people, fore­most among which is peace and order. These services, furthermore, must be provided with the utmost efficiency; and I urge the immediate enactment of the proposals contained in the Reorganization Bill."
"136","The most important of our programs in this category continues to be land reform, which still suffers from lack of funding. I ask Congress to provide this program with the resources the farmers and the country need."
"137","We have formulated a long-term program to make our educational system more responsive to national needs."
"138","We have formulated a manpower development program, which includes training and placement services and a manpower center in every municipality."
"139","We have begun several programs aimed at improving the economic oppor­tunities of the masses through cooperation and self-help. These include livestock dispersal and cooperative farming which harness the energy of our youth, which too often find an outlet instead in wasteful and unproductive violence. This is a powerful force, which can be utilized for the concrete benefit of both the country and the young. Let us together define useful and attractive lines of endeavor; perhaps constructing feeder roads, providing educational and medical services, directing barrio improvement projects, and providing our unemployed and out-of-school youth opportunity to serve their country."
"140","For the financing of all these programs, I am proposing the creation of a Development Fund, which will receive the proceeds from certain tax measures and direct them towards development projects."
"141","The pressures for change in our society daily become rarer. It is a process that we not only accept, but seek to master. We at the center of govern­ment must not only react to change, but generate it. I have outlined some of the innovations we are seeking to create; I undertake to maintain this innovative approach."
"142","It is the only way to meet the challenge of revolution."
"143","The need to provide the government with better instruments for dealing with supply shortages was revealed again in 1971. There was a rice shortage; and because we could not remedy the gap until the last minute, food prices rose by over 29%. This was largely responsible for the increase of over 23 in the consumer price index."
"144","Some traders also apparently took unwarranted advantage of the situation to increase their margins. Wholesale prices rose by less than 16%, or about 7% less than consumer prices."
"145","Export prices were depressed in relation to other prices. In the face of a price increase of 17% for all domestic products, and in spite of increased costs, wholesale export prices rose by only 6%."
"146","Also last year, the Price Control Council was reestablished by law to prevent monopoly, hoarding, injurious speculation, manipulation and profiteering with respect to the supply and marketing of commodities. The Council has waged a vigorous campaign against profiteers, blackmarketeers, hoarders, and speculators. It has also prevented what could have been the spiraling of the prices of petroleum products, textiles, textbooks, school supplies, milk, drugs, and construction materials. The task of the Council continues this year."
"147","This is exactly what happened in 1971, which, on the whole, was a disas­trous year for Philippine agriculture."
"148","The havoc wrought by the typhoons of 1970 resulted in a severe rice shortage in 1971, so that the country had to resume rice importations anew after having been self-sufficient for the three previous years. The conflicts that broke out in Cotabato in December of 1970 continued through 1971, thus drastically reducing rice and corn production in one of the major rice bowls of the country. Moreover, the rains that came in the wake of the typhoons cut corn production severely, resulting in a soaring of corn prices. This, in turn, led to a shift to rice by the corn-eating population, thus artificially increasing the demand for rice at a time when supply was already short. Political hysteria in election year 1971 further aggravated the situation by encouraging panic-buying and hoarding. The net result was a steep rise in the price of rice immediately preceding the elections in November, although this was followed by a price decline shortly thereafter."
"149","As if this were not bad enough, an outbreak of the dreaded tungro disease hit the main rice crop unexpectedly towards the end of the year, resulting in drastic production declines in Central Luzon and a few other parts of the country. Coupled with the 1971 typhoons and a continuation of the Cotabato strife, the rice plague means additional importations in 1972, despite an intensified rice production program which has already been mounted."
"150","First, I have instructed all the government financial institutions to extend P180 million worth of additional agricultural credit for this palagad or dry season crop. This should provide farmers with the additional funds required for the higher-priced farm inputs brought about by the 1970 floating rate. For the main crop that is planted in mid-year 1972, we intend to mobilize a total of about P400 million in additional credits from different sources."
"151","Second, I have instructed the RCA to use about P100 million, generated from our long-term credit purchases of rice, for a price-support program for palay. This should assure our farmers of a sure market for their palay at a profit, thus encouraging increased production."
"152","Third, the Bureau of Plant Industry—acting on my orders—has launched a seed-production drive to produce tungro-resistant seed varieties to replace the nonresistant varieties. This, together with a massive agricultural information campaign now being conducted by our 4,000 farm technicians, should prevent any recurrence of the rice disease for this year."
"153","Fourth, we are redoubling our efforts to irrigate more rice lands. I have approved the purchase and installation of 4,700 more irrigation pumps through­out the country. I have also ordered the release of funds to the National Irriga­tion Administration to enable it to repair communal irrigation systems. Altogether, this should place about 50,000 more hectares under irrigation this year."
"154","Fifth, having obtained a World Bank loan of $14.3 million, the Develop­ment Bank of the Philippines and the National Food and Agricultural Council have undertaken a PISO-million effort to modernize and upgrade our rice storage and warehousing facilities all over the country."
"155","While these steps are being taken, we have already contracted for more rice abroad—largely on the basis of long-term credit—in order to assure our people of sufficient rice for their needs this year. This should tide us over this critical period."
"156","So much for rice."
"157","Fortunately, not all was bleak in agriculture. While rice overshadowed all other developments, we did forge ahead in many agricultural fields."
