"","x"
"96","On the other hand, the budget for general government has been decreasing percentage-wise. It was 14.4% of the total budget in Fiscal Year 1966. During the current fiscal year, it amounts to only 11.5%. Moreover, contrary to the common impression, the budget for national defense has not grown in proportion to the total annual budget. In spite of the increased responsibilities of our Armed Forces, due to its dual military duties and civic action activities, its expenditures even decreased from 14.5% in Fiscal Year 1966 to an estimated 14.2% for the current fiscal period."
"97","Capital expenditures also increased from 9.3% in Fiscal Year 1966 to 17.5% in Fiscal Year 1967, while current operating expenditures decreased from 90.7% to 82.5% for the same fiscal year."
"98","Of the problems that still confront us, the most serious one, and one that is important to national self-respect as well as economic life, is the problem of improving our foreign exchange earnings. With our rapid growing population and in our present stage of industrialization, our country must trade in order to live acceptably well. The limits of easy import substitution have been reached, and substantial overcapacities already exist in many industry lines. At the same time, the country’s list of exports has not changed markedly over the last 20 years, and remains composed primarily of agricultural products and industrial raw materials, for which the world market grows too slowly. Furthermore, our preferential trade relations with the United States are due to expire in a few years."
"99","This is a problem of the greatest importance; it affects every aspect of our economic life; and the pressure to increase export earnings will continue as far ahead as we can foresee."
"100","The export drive must begin immediately, and continue far into the future. Later on, I shall outline the measures I believe necessary to undertake immediately."
"101","These longer-term goals are set forth in the rolling programs of our planning and implementing agencies. We shall merely outline here what has to be done over the next year. Our operational program involves activities in four areas: continuing government reorganization for efficiency; projects to be directly undertaken by the government, especially in infrastructure; manpower development and land reform; the improvement of our foreign trade; and the direction of domestic and foreign investment."
"102","Our basic criterion in the selection of our infrastructure projects has been their contribution to economic growth; but our selection has been realistic as well. We have also considered the financial resources available to the government and what we hope to obtain from new taxes, as well as the capabilities of the agencies to utilize capital funds."
"103","In highways, we propose the concrete and asphalt paving of a total of 1,000 kilometers, the construction of 2,000 kilometers of developmental and feeder roads, and 9,900 lineal meters of permanent bridges."
"104","We have started the groundwork for the construction of the 3,000-kilometer Philippine-Japan Friendship Highway which, running from LaoagCity in the north to ZamboangaCity in the south, will link Luzon, the Visayas, and Mindanao. This highway will serve two purposes: It will also contain emergency airstrips, to augment existing airports, to make possible aircraft landings along the whole stretch of this cross-country highway at regular intervals."
"105","We propose the irrigation of an additional 140,000 hectares to comprise our main irrigation program. In addition, we will continue the construction of communal and pump irrigation projects which will extend irrigation benefits to some 50,000 hectares more. We are pursuing the construction of the multimillion-peso Upper Pampanga River Project which is designed primarily for irrigating 81,000 hectares in and providing domestic water supply to Nueva Ecija."
"106","In airports and airways, we propose the concrete paving of runways and taxiways in 20 airports. We will improve and modernize the air navigation facilities throughout the country urgently needed for the safety of life and property in air travel. We also expect to complete runway resurfacing of the ManilaInternationalAirport by April this year."
"107","Various projects at the Port of Manila will be completed, and provision has also been made for the improvement of 31 other ports throughout the country."
"108","The most conspicuous of the communications projects is the permanent Earth station of the Philippine Satellite Communications Project to be completed in April of this year. An interim Earth station for this project was completed in a record time of 45 days and made operational in April of last year."
"109","Other targets include 14,000 school units, 9 hood control projects costing some P13.6 million, low-cost housing, 40 waterworks projects, and various community projects."
"110","To achieve these targets, we will need P580 million this year. This, however, does not include the whole cost of special projects like the Philippine-Japan Friendship Highway."
"111","In land reform, we shall concentrate our efforts on the second land reform district of Pampanga to make the program more effective. Also, sources of funds were authorized last year for the Land Bank; we shall encourage this year the utilization of these sources to make the operations of the Land Bank more effective. New funds will be drawn by the bank from the issue of bonds up to P10 million, which I authorized last year; and from the proceeds of the sale of 16 government properties in Manila authorized by Republic Act 5169. The sale is expected to realize up to P120 million, of which three-quarters is to go to Land Bank and the remainder to the Agricultural Credit Administration."
"112","To complement our land reform efforts, we are opening up the 33,000-hectare Barira Farm in Parang, Cotabato, for Army veterans, former dissidents, and landless tenants. Later this year, we shall also open 30,000 hectares in Tuao, Lanao del Norte."
"113","Among these measures are an in-plant skills training program responsive to current and projected needs of industry; and training for employment of out-of-school youth and unemployed adults through a network of practical training centers and free vocational instruction at the secondary school level. These proposals shall be embodied in an omnibus manpower development and training bill which I shall shortly submit to Congress for consideration and enactment."
"114","We are laying the groundwork for a national youth development program. Eventually, it will redeem some 3 million of out-of-school youth, teach them civics, physical fitness, occupational and food production techniques. It involves the establishment of a national institute for youth leadership, pilot training centers, and the cooperation of the Manpower Development Council, the National Youth Coordinating Council, the Departments of Education, Labor, National Defense, the PACD, and the private sector."
"115","Finally, in the area of housing, we shall aim at increasing the credit resources available for low-cost housing as well as orienting lending practices towards the needs of low-cost homes. Likewise, support shall be given government housing agencies to make them effective instruments for low-cost housing."
"116","Our Social Security System, for example, has finalized its plans for building 7,000 low-cost houses annually. This project is scheduled to start this year."
"117","In the drafting of this program, every possible reduction has already been made. The proposals have been subjected to ruthless scrutiny and pruning; only those that have met the strictest criteria of economy, efficiency, and necessity have been allowed to pass, and these often in severely reduced form."
"118","As evidence of this testing, I have laid down, in a proposal unprecedented in the history of Philippine budgeting, an absolute upper limit on the level of current expenditures. For this fiscal year, current expenditures from the general fund will not be allowed to exceed P2 billion. This limit will hold absolutely, in spite of the fact that the cost of providing the services that these expenditures represent has risen considerably."
"119","Every other centavo that the government can raise will go into our capital program. But this money must not only be spent wisely; it must also be raised wisely."
"120","The justifications are compelling. We can certainly afford more taxes: The proportion of national income our government disposes of is about half the comparable percentage for Malaysia and about 50% less than that of Thailand, neither of which countries is conspicuously richer than we are. Furthermore, our present tax structure was essentially created before 1939, when our needs were much simpler, and when we had a colonial father to run to in case of need."
"121","Some of these rationalize the existing tax structure. These comprise the measures to promote a more equitable distribution of income tax collection between the national and local governments; to amend certain sections of the Tariff and Customs Code of the Philippines; and to revise the rates on the individual income tax, some rates downward and other rates upward."
"122","Other measures increase particular taxes, in the interests both of raising national savings and government revenues, and of discouraging conspicuous consumption, which is particularly harmful in this period of threatening unrest. These measures include increasing amusement taxes and specific taxes on certain distilled spirits and fermented liquors; requiring the payment of certain charges for foreign travel and for the registration of motor vehicles; increasing the rates of corporate income tax; and increasing the specific tax on oils and other fuels."
