"","x"
"19","We can no longer plead as an excuse immaturity or smallness in the world. We have grown in population to 37 million people, making us the 15th largest nation. Among the developing countries, we rank seventh in the world in population. Countries similar to us in geographical area, such as Great Britain and Japan, have demonstrated their capacity to become world leaders. We do not, we need not, aspire to world leadership. We do have the potential to play a larger role in world affairs. But first, we must acquire the discipline of self-denial, the ability to sacrifice present gratification and ease for permanent and lasting national progress."
"20","I ask the leaders of our government—including the members of the Seventh Congress—to set the example and lead the way for national self-discipline."
"21","Let me now turn to the facts of our economy."
"22","The economic difficulties—namely, the balance of payments problem and inflation—that beset us are consequences of the massive capital expenditures that we made and not of stagnation. As such, they are temporary and can be surmounted. But to surmount them, we need strength of purpose and discipline. We have to subordinate our personal desires to the needs and aspirations of the nation. We have to train ourselves to use our resources carefully and fruitfully."
"23","To get an overview of our economic state and to provide a context for our new programs, allow me to review the economic gains of the past four years."
"24","In those four years, we sought to retrieve the economy from stagnation and decay, and in 1969 it was possible for us to see that our labors had paid off. Revived in purpose and seeking. To pursue larger goals, we found the evidence of our achievement not only in concrete roads, bridges, schoolhouses, and other such palpable things but above all in the new determination of the people and government not to cruise along its difficulties but rather to confront them with all the resources at our command."
"25","At this point, it is important to note three salient points relevant to economic activity:"
"26","Job opportunities in 1969 maintained the annual average increase of 647,000 new jobs, which represents 220% increase over the 1965 figures. This massive increase is of particular significance because its main beneficiary was the rural areas, where employment opportunities soared to a record annual average of 453,000."
"27","The principal targets in our economic development plan have been exceeded. You are aware of the figures and I shall not repeat them."
"28","The International Monetary Fund consultative team is now studying with our monetary authorities the courses open to us without devaluation and without controls."
"29","In the meantime, I have insisted that the plight of our economy be alleviated by the lifting of the suspension of guarantees by the Development Bank of the Philippines and the Philippine National Bank and the allowance of the importation of essential consumer goods."
"30","In the meantime, we must be patient even with the most impatient among our people. No one is more in a hurry for development and for improvements than I. But I repeat I must balance the public good against the welfare of the few, and naturally you and I must always choose the general welfare against limited welfare."
"31","But we must be understanding to even those who refuse to understand us. This must be our policy."
"32","Since then, our Board of Investments has approved as of 1969, 128 projects from 221 applications."
"33","This is an experiment. It is my hope that once this succeeds you will be able to establish other free trade zones in other ports of the country. The economic benefits that this will generate are tremendous and far-reaching. The free trade zone has aroused enthusiastic interest not only here but abroad."
"34","Production of precious metals, including platinum and palladium, for 1969, reached a total of P124.6 million; base metals, P607.3 million; nonmetals, including cement, P316.2 million."
"35","Our economy is on the verge of take off to self-sustaining growth. Measured against 1967 prices, our gross national product for 1969 reached P27.783 billion, surpassing planned targets by 9.4%."
"36","More important, we successfully increased the absorptive capacity of our economy for investments through government infrastructure investments, incentives and assistance to private industry. We have arrested the erratic fluctuation of our economy and maintained consistent growth."
"37","The year 1969 was marked by deterioration in the foreign exchange position of the Philippines accompanied by expansion in money supply and a relatively modest rate of increase in prices."
"38","Rice, roads, schools, and other essential projects of the government, as well as the capital goods required by an expanding industrial sector, were the factors, in concrete form, which helped increase money supply and weighed heavily on the demand for imports. Directly, the implementation of these programs required the importation of many types of machinery, communications equipment, railway, and other transport equipment. Indirectly, through the purchasing power released in the wake of their implementation, these programs also gave rise to increased demand for imported consumer goods and for domestically produced goods. Since the production of the latter required the heavy importation of raw materials, increased demand for domestic goods also meant added pressure on the country’s limited supply of foreign exchange."
"39","Another major cause in the reduction of the foreign exchange resources was the higher level of activity of business firms, particularly those in the export sector. As in the case of firms producing goods for domestic consumption, these export firms were heavily dependent on imported machinery as well as imported raw materials to bring about an expansion in their production."
"40","A third cause of the heavy demand for foreign exchange which, however, could only be indirectly traced to the excessive credit for monetary expansion in the economy was of more recent origin. These were the speculatory activities centering on devaluation and exchange controls, which induced business firms to import more than their normal requirements and build up their inventories, thus contributing to the fall in the reserve."
"41","In the face of all these problems, the Central Bank has made the following moves: (1) raised the reserve requirement of all banking institutions by two percentage points; and (2) raised the rate of special time deposit (STD) requirements in order to mop up excess liquidity."
"42","A related measure to these twin deflationary moves was the adoption of a program of dispersing part of money supply, now overly concentrated in centers of population, to the rural areas; this should lead to a reduction in the velocity of circulation of money, an effect equivalent to a reduction in the volume of money."
"43","Cognizant of the initial effects that these new measures would have on production, employment and prices, the Central Bank further took steps to ensure the immediate and continuous availability of raw supplies and materials to industrial establishments. These firms were allowed to open automatically letters of credit equivalent to 55% of their 1968 importations, spread out on a quarterly basis."
"44","For the long run, in order to revise the production patterns of the economy, measures have been devised to promote a more outward-looking, export-oriented type of development. In cooperation with other government agencies, the Central Bank stands ready to adopt additional facilities for export industries. With the support given to these industries, the heavy dependence of the economy on imports should be reduced. The wherewithal to provide the foreign exchange necessary for imports or for such other imports, which an increase in foreign exchange earnings (and thus in money supply) will induce, will be forthcoming."
"45","If these and other monetary and fiscal measures that are being considered can be successfully implemented, then the base will have been laid for an economic structure that will not only be able to overcome the present foreign exchange difficulties of the country but also enable the country to achieve a consistently high rate of growth."
"46","Our economy has been temporarily placed in a straitjacket."
"47","This emphasizes the need to promote and to diversify exports."
"48","This is a far cry from the average 5.0 and 5.9% increases in consumer prices we experienced in 1966 and 1967, and way below worldwide trends of spiraling prices. Forty-one countries surveyed in 1968 showed price increases ranging from 12 to 455%."
"49","Except for August and December when speculation unnecessarily raised prices by 2.1% and 2.5%, respectively, monthly increases in prices in 1969 consistently remained below 1%."
"50","In the Bureau of Customs, these reforms included administrative measures for greater autonomy in different offices, adoption of the “immediate payment system” in obtaining the release of importations from Customs, the standardization of the classification and valuation of imports, upgrading of law enforcement agencies, expansion and improvement of port facilities, opening of new principal ports of entry, and providing new incentives to boost tourism."
"51","Erring personnel were dealt with accordingly. One hundred ninety-six criminal cases were filed against officials and employees in the Bureau of Internal Revenue, and 215 cases were filed against undesirable employees and officials in the Bureau of Customs."
"52","Treasury operations were improved. From FY 1966 to FY 1969, the total gross receipts of the National Treasury accruing to the general fund amounted to P9,994.96 million, an increase of P2,640.72 million or 35.9% over the period from FY 1962 to FY 1965."
"53","The net receipts of the general fund during the last four years were P8,835.10 million compared to P6,348.65 million under the previous administration, an increase of P2,456.56 million or 33.5%."
"54","We upgraded the management of the public debt by establishing a Treasury Bills Program and developing a Bill Market, issuing Tax Anticipation Bills, issuing the “Gold Subsidy Series” of treasury bills, and creating the Financial Policy Committee."
"55","We stabilized the embroidery industry."
"56","In general, we protected Philippine industries, either through the imposition of special dumping duties or through the prohibition of entry, or control, of the quantity of imports that may injure, or prevent the establishment of, local industries."
"57","The Rice and Corn Administration may have to be authorized to issue export licenses to private traders at a pro rata share based on the milling capacity of their respective millers. In general, export licenses must be issued only for the export of high-quality long-grain varieties, unless it is clearly shown by the exporter that a demand exists for the medium and short-grain varieties."
"58","During the same period, it constructed more than 57,100 schoolrooms all over the country."
"59","For flood control, it constructed 26 kilometers of earth dikes, 4,678 lineal meters of revetments, and dredged about 3,274,000 cubic meters."
"60","In portworks, it constructed 18.5 foreign berths, 53.5 domestic berths, and 50 lightcraft berths. It also constructed a substantial number of warehouses and cargo sheds, causeways and bulkheads, seawalls, and has reclaimed more than 2 hectares as port area."
"61","The Civil Aeronautics Administration finished 50 projects and installed 18 air navigational systems."
"62","The Bureau of Telecommunications has established 1,319 telegraph and radiotelegraph stations around the country."
"63","Microwave links are also being established; 13 VHP/UHF radio stations have been completed."
"64","During the period covered, the Irrigation Services Unit installed 4,837 pump units benefitting an area of more than 128,000 hectares of riceland, capable of producing 10,000,000 cavans of palay per year."
"65","The Central Bank index of physical volume in manufacturing corroborates the trend. Manufacturing output rose by 31.2% from 196.7 in 1962 to 200.9 in 1965 as compared to a rise of 59.8% from 218.6 in 1966 to 258.8 in 1969. Nondurable manufactures gained by 27.7% during the period 1962-1965 as against a gain of 35.5% during the period 1966-1969, while durable manufactures increased by 48.1% for the same periods"
"66","In domestic trade, Filipino participation in the retail trade significantly increased since the Nationalization Act of 1954. This increase is a reflection of the implementation of the law. For the period 1966 to 1968, 94.8% of new retailers were Filipinos with an average capitalization of 87.5% of the total capital. For the previous four-year period, Filipino participation in the retail trade was only 90.6%, with a capitalization of only 88.3%."
"67","This marketing scheme is intended to stabilize, and perhaps even to decrease, the prices of prime commodities."
"68","This trade imbalance, however, was caused by importations of capital equipment, raw materials, and semiprocessed goods by our various industries."
"69","Of the total value of imports during the Calendar Year 1965, 87.4% was spent for the purchase of machinery and equipment, raw materials, and supplies, and only 12.6% for consumer goods. For the year 1968, the relative percentages of imports of producer and consumer goods were 88.3% and 11.2%, respectively."
"70","Thus, the trade imbalance has been largely brought about by the expanding industrial development of the country. However, there is a built-in correction in the imbalance, for once these industries begin to produce with the equipment imported, they will augment their own domestic requirements, substitute the goods currently imported, and provide a surplus for export."
"71","Eventually, therefore, this imbalance will relieve the pressures on our international reserves and thus strengthen the country’s credit and financial position abroad."
"72","In terms of domestic investments alone, as of September 30, 1969, the capitalization of the 34,274 NACIDA-registered producers increased by P16,327,988.47 from a total of P63,860,991.72 in June 1968, making the capitalization total P80,188,980.19. These NACIDA-registered producers today employ 598,100 workers."
"73","Last October 7, 1969, we inaugurated the joint RP-Japan Technological and Development Center. In this modern laboratory in Marikina, Rizal, bamboocraft, rattancraft, ceramics, fibercraft, woodworking, forging, and small machine parts manufacture will be taught."
"74","We cannot let this opportunity for economic takeoff pass. Developed countries keep moving and other developing countries keep developing. The more we delay, the greater will be the gap between us and the advanced countries, the harder it will be to catch up or compete with them. Furthermore, a hesitation today will mean the negation of all our efforts and sacrifices in the past."
"75","The next step is the stimulation of regional markets. Plans are in process to establish a number of free ports throughout the country to encourage direct regional exports to international markets. We intend to emphasize the development of secondary urban centers as growth points in each region through our capital expenditures program in the years to come. We have already started to decentralize industry away from Greater Manila; we shall provide additional incentives for further decentralization to these regional centers. The dispersal of institutions of higher learning and hospital facilities is to be encouraged. The reorganization and revitalization of regional development authorities under competent administrators shall be pursued. Finally, increased emphasis shall be given to the exploitation of mineral, marine, and agricultural resources on a regional level as the basis for stimulating regional income."
"76","This growth rate in GNP and per capita income is sufficiently healthy to prevent unemployment, and at the same time sufficiently modest by now established Philippine standards to enable the stabilization and restructuring of our economy."
"77","To achieve these goals, we shall follow various major policies, of which the more important are"
"78","To insure continued and accelerated growth in the future, the national government commits itself to the following undertakings:"
"79","A. Capital Formation"
"80","The infrastructure program will be continued. Highway expenditures will be limited to those portions previously identified and recommended by the transport survey for their high benefit-cost ratios. The feeder road program will be expanded to catch up with the increased growth of agricultural production."
"81","Our infrastructure program will be geared to support tourism and the export trade."
"82","The capital formation budget for the national government will be as follows:"
"83","Having attained surplus production in our basic staple, the agricultural program will expand production in other food and cash crops, especially export crops."
"84","Agricultural credit will be assured through the rechanneling of excess liquidity from consumption into agricultural production. The Central Bank envisions some P250 million for this in 1970."
"85","Unlimited credit will be provided by the Central Bank for export as well as domestic production. Credit for importations will, however, remains restrictive. Guarantees for foreign loans by the DBP and the PNB will be issued selectively and confined primarily to priorities specified by the Board of Investments."
"86","Incentives and protection will be afforded Filipino retailers to broaden and upgrade the Filipino entrepreneurial base. Relevant government institutions like the Department of Commerce and Industry will be mobilized to extend the necessary assistance."
"87","C. Fiscal Planning"
"88","In all these developments, the policy of fiscal restraint will be adhered to. Our aim is not to increase expenditures but to restructure or to rechannel expenditures to promote greater economic growth."
"89","Total government expenditures level for 1971 will be maintained at 1970 levels. Capital formation and improved and increased developmental expenditures will be funded from the increased tax take, and savings from government reorganization and rechanneling of government expenditures."
"90","For 1971, we envision a cutback on current expenditures on goods and services of P120 million and P20 million on subsidies. This cutback will enable developmental services to expand by P140 million."
"91","Receipts from current revenues are expected to increase by P190 million, plus P420 million to be generated from the 12 new tax measures passed in 1968 and 1969 and the additional tax measures to be presented to this Congress session. The new taxes will dampen inflationary pressures, allow for freer government credit to the private sector, as well as enable a substantial portion of the infrastructure program to be financed by noninflationary means. Domestic borrowing for the capital development programs will be limited to P240 million and will come from noninflationary sources such as GSIS, SSS, and the common bond sinking fund."
"92","D. Solution of Balance of Payments Problem and Inflation"
"93","The most crucial economic problem we face today is our balance of payments. This is a problem caused by the development process. Specifically, it arose from the enthusiasm of the private sector to import more capital goods. Thus, although imports of consumer goods dropped to 12.6%, imports of capital goods increased to 87.4%."
"94","To meet this problem, we have had to adopt certain measures, among them the suspension of certain projects and the restriction of credit."
"95","I have already discussed this problem and its solution."
"96","E. New Strategy for International Trade"
"97","The economic program shall give utmost priority to the foreign exchange earning sectors of the economy; this priority shall be enforced in the lending programs of government financial institutions, in tax incentive and funding legislation to be proposed to Congress, in the allocation of the budget of the national government and through all the multiple channels available to government in the management of the economy. The monetary authorities have already enacted initial measures to encourage exports. It is expected that monetary and financial policy shall further orient assistance towards the tourist and export industries."
"98","The Philippines intends to be active in international markets. Our trading strategy shall be dictated by the following criteria:"
"99","In this interim, we shall have to seek program loans and we may have to face some uncertainty. But we face these uncertainties with much in our favor. We are currently working at lowering trade barriers between ourselves and the Eastern Socialist countries. The Association of Southeast Asian Nations is progressing rapidly towards economic cooperation and integration. We are seeking congressional approval of an omnibus tariff bill, a bill that will enable our industries to compete more vigorously in international markets as well as provide us with the flexibility to enter into tariff agreements to our advantage."
"100","We are growing at a rate which ordinary laissez faire techniques cannot sustain. In moving into the export markets, we enter into competition with developed economies sustained by highly efficient firms. To compete with them, we must not only husband our resources but we must also program them with equal efficiency. This requires true nationalism, discipline, and sacrifice on our part."
"101","In my second term, government will continue to perform its new role as the ally of the deprived and the unfortunate. It will continue not only to heed the clamor for change but to lead all sectors of society in translating that clamor into real prosperity and contentment among our people. Government, its conscience awakened, will continue to strive for true and enduring social justice. We have narrowed the gap between the rich and the poor. The years ahead will be devoted to further reform and innovation that will destroy class barriers in Filipino society."
"102","As we enter into our second term, we pledge full commitment to the implementation of the land reform program. We are determined to pursue social justice hand in hand with economic development."
"103","I am aware, as you all are, that economic development is futile and short-lived if it fails to make its benefits felt among the masses of neglected and underprivileged."
"104","We have therefore inaugurated the Human Resources Development Program. This will increase our people’s capacity to take advantage of opportunities created through development."
"105","The improvement of our health services has also been a principal program of the administration. The emphasis in this program has been on providing more services to the rural areas, where they are most needed. To date, we have a total of 1,459 rural health units operating throughout the country—an average of one unit serving 24,594 citizens."
"106","In education, we have confronted the short-run and immediate problems forthrightly and successfully. We had a total of 49,000 elementary school classes added to the public schools system from 1966 to 1969; we produced 90,986 classrooms. This compares favorably with the 800 classrooms produced or constructed from 1962 to 1965, when the total number of new classes was 48,000. Thus, we have favorably solved the problem of accommodation in the schools, which was a principal cause of poor instruction and of a high dropout rate."
"107","The administration of justice has become more efficient and speedy with the creation of special courts to augment the work of the regular courts. For years, the number of cases filed in court annually had always exceeded the number of cases disposed of. But in 1969, the courts of justice effected a dramatic reversal of this trend."
"108","But despite the impressive performance of our courts last year, the backlog of cases dating even before 10 years ago continues to be our primary concern."
"109","More judges are needed. The ideal ratio between judge and population is 1 judge for every 50,000 people; but now this ratio is 1 for every 150,000, truly far from the optimum that a judge could serve effectively."
"110","Our problems in the administration of justice have not, however, deterred us from carrying out a bold and successful peace and order program. This has been possible despite certain abnormal circumstances."
"111","A close examination of these elements makes only one conclusion possible—that the peace and order condition in the Philippines compares favorably with the rest of the world."
"112","This comparative stability has been possible despite the heavy pressures of a high rate of population increase. As everyone knows by now, the Philippines has one of the highest rates of population growth in the world. Former U.S. Defense Secretary Robert S. McNamara once reported that, at its present rate of population increase—3.5%—the Philippines is on a par with only one other country in the world, India. Considering the direct proportion between “population explosion,” with its accompanying phenomena like industrialization, urbanization, slums, and various tensions, conflicts, and new social relationships, the Philippines should logically be afflicted today with one of the world’s highest crime rates."
"113","On the contrary, it has one of the lowest in the world."
"114","True enough, the volume of crime in the Philippines has increased—I must add, inevitably—but the crime rate per 100,000 population has decreased. The volume of crime rose by 10.5% over a seven-year period; on the other hand, the crime rate per 100,000 population decreased by 13.4%. What does this mean? It means that although the population has grown tremendously over the years, the Filipino citizen today faces less risk of being victimized in a crime than in the early ‘60s."
"115","This decrease in crime rate, or decrease in personal risk, was particularly notable between the years 1967 and 1968. In 1968, the third year of my administration, the crime rate fell by 28%, to 150 per 100,000 populations. This was the lowest crime rate since 1959."
"116","What makes this record even more significant is that, as I have pointed out, we are also burdened by a condition that is not experienced by other countries. Central Luzon, the traditional seat of social unrest, has contributed heavily to the escalation of crime figures."
"117","As everybody knows, the murders, homicides, and kidnappings which have resulted from the unrest and dissidence in Central Luzon have been indiscriminately recorded as acts of simple criminality in the statistics of crime, thus considerably increasing the visible signs of public disorder and producing a false picture of peace and order in the country."
"118","In other words, without the crimes which should properly be distinguished as results of the insurgency in Central Luzon, the crime volume and crime rate in the Philippines would have been even less."
"119","This has been possible because of the administration’s three major programs against crime, namely: the improvement of our capability for crime prevention, improvement of law enforcement, and improvement of the administration of justice."
"120","Another reason for the comparatively stable peace and order situation in the Philippines is the improvement in the economic condition, brought about by breakthroughs in food production, infrastructure, and foreign trade. Over the past four years, many of our people have experienced enough improvement in their living conditions to be able to discard the despair of the past and begin to entertain hopes of a good future. This has helped ease the social and private tensions that are often a source of increased criminality."
"121","The program against crime has had to be carried out with scant resources. For instance, I have been constrained to draw from savings of the executive department to finance the purchase of better police equipment needed by some local governments."
"122","In this and other creative ways, the administration put to good use the same meager resources that were available to earlier administrations."
"123","We cannot say that the problem of dissidence can be solved tomorrow or the next week or even a year from now. We delude ourselves in thinking that a final solution by military means can be found. For revolt in any of its forms invariably has a deeper root in the thinking, the aspirations, and the psychology of the group in revolt."
"124","That is why the government has launched a development program in Central Luzon in which currently about 48 national government agencies are taking part. In the past three years, more than a hundred million pesos has been spent on various development programs in this region; almost the whole region has been placed under land reform."
"125","Our program in Central Luzon is to be pursued patiently and with vigor whether the Huks exist or not. In a sense, it is a proving ground for the proposition that democratic government can be an effective instrument for social change and social justice."
"126","The military, of course, have their own duty to deal with unbridled violence. Progress can hardly be attained in an atmosphere of constant fear and danger to life and property. Since early last year, we have increased the strength and capability of the PC in Central Luzon. Whereas there were a mere 1,000 in the six provinces of Central Luzon two years ago, there are now or will be, when all the PHILCAG elements are fielded, more than 3,000. It is paradoxical that while the government is actually engaged in putting down an armed threat to the State, we have actually now more troops engaged in development work than we have engaged in combat."
"127","We are meeting this rebellion with just enough force to cope with open violence and the threat to life and property, not forgetting that the few misguided individuals are part of our people. The programs of development are directed to the welfare of the people as a whole."
"128","The Armed Forces therefore are engaged in civic and social action—those small-scale, short-term direct help that the military provide in terms of health services and other direct services. PHILCAG will engage in long-term construction and improvement of facilities and communications. They will reinforce the civilian agencies in the Central Luzon Development Program that are engaged in social and economic uplift on the principle of self-help, self-determination, and social cooperation."
"129","It is in this spirit, too, that now we are undertaking the military actions against actual violence with the closer and more active participation of the mass of the people. I refer to the new concept of the barrio home defense, as recommended by the field officers engaged in Central Luzon. It has been said that a people get the government they deserve. By the same token, the peace and order that a locality will get is what the people in that locality strive and work for. Recent developments in Central Luzon indicate that the people in those beleaguered provinces have become so fed up with dissident threats and violence that they have volunteered to take on the fight themselves with, of course, the active help and support of our regular forces."
"130","In Pampanga, almost all the mayors are committed to the program; in southern Tarlac where the “Ma-Mao” is active in three towns including part of the capital, the mayors and rural leaders have become so involved in the program that as a result, the so-called New People’s Army had to take stem countermeasures against the very people they were ostensibly protecting from abuses of the government, by an orgy of killings and indiscriminate armed attacks. Not against combat troops, but against the defenseless barrio people."
"131","The First PC Zone reports that there are 50 barrios that have fully organized their barrio home defense forces, and many more barrios are being organized. Eventually about 400 barrios will be organized in the provinces of Pampanga, Tarlac, Nueva Ecija, and Bataan. A barrio home defense unit is composed of 10 male volunteers from the barrio under the close supervision of a five-man control and training team of the military. Its mission is to protect the barrio from dissident depredation, threat, and exploitation, and to deny to the enemy the resources in food, money, shelter, and other forms of support that he could get if the barrio were defenseless and afraid."
"132","There are some who have voiced reasonable fears about the concept. Not a few, for example, believe that we have merely revived the once despised civilian guards. Others fear that the home defense forces might conceivably be used by local political leaders for their own ends. To these well-meaning doubters, it may be explained that the barrio home defense unit consists of volunteers from within the barrio. They are trained and closely supervised by responsible noncommissioned officers of the PC or Army. These volunteers are not going to be controlled by any local politician, big or small; their arms are secured in storage in the military detachment when they are not on duty; and none of the volunteers will be employed in any mission outside their barrio except when actually defending a nearby barrio under direct armed attack."
"133","Through the Commission on National Integration and the Presidential Assistant on National Minorities (PANAMIN), we have reclaimed thousands from a life of backwardness and deprivation and brought them into the stream of national progress."
"134","The acceleration of the housing program has been a major concern of my first administration. I propose to redouble the pace of construction and resettlement in my second term. Economic development will be meaningless unless low-cost housing is made possible for the bulk of the population in urban as well as in rural areas."
"135","As another means of enriching the life of our people, this administration recognizes the indispensable role of science and technology in national development. Through the National Science Development Board, the government is determined to develop the country’s resources and to apply these resources to the acceleration of the economic, social, and cultural progress of the country."
"136","Let us examine more closely the individual fields of activity through which the government has sought, and will continue to seek, social reform and develop our human resources."
"137","With the present high growth rate of the population, we should have more rural health units in our efforts to implement fully Republic Act 3797, entitled “An Act Strengthening Health and Dental Services in the Rural Areas.”"
"138","The Philippine General Hospital, originally created as a training hospital for the UP College of Medicine, is one such government hospital that has been forced to operate beyond its normal capacity. As a vital link in the administration’s program to serve the hospital needs of the people, it deserves more support from the national government."
"139","Courts of First Instance nationwide scored a disposal ratio above 105%. Municipal courts averaged 102%. City courts also reached above 102%. In Manila, where crime density is highest, the Courts of First Instance averaged over 120%. And all the circuit criminal courts, fully operative only this year, lived up fully to public trust by dispensing impartial justice promptly. The Manila Circuit Criminal Court, for example, disposed of 483 cases out of 623 filed during the year."
"140","The special courts matched the impressive performance of the regular courts. Their disposal ratios for 1969 are 105% in the Court of Agrarian Relations, 101% in the Court of Industrial Relations, and 129% in the Court of Tax Appeals. Of 45 tax court decisions appealed to the Supreme Court, 43 were affirmed and one merely modified, while one was reversed."
"141","This performance of the judiciary is best reflected in the fact that at the end of last year, fewer cases were pending in court: only 81,239 as of the year-end compared to 85,341 in 1968."
"142","Substantive and procedural reforms continue to be our concern. We are now implementing the equalization of caseload among municipal courts as well as providing further assistance to overburdened CFI salas."
"143","Even more significant, the Department of Justice has installed a computer program exclusively for criminal cases. It is now possible to tell promptly the stage which a particular case has reached, from filing to conviction or acquittal. In a matter of minutes, the judge’s performance record on criminal cases can be reliably retrieved. Undue delay is therefore checked promptly. And our court administrators can now pinpoint and correct defects, if any, in the criminal justice process."
"144","The relentless campaign against graft and corruption to maintain the people’s faith in government continues. Those executive officials, judges, prosecutors, fiscals, and other national officials accused of wrongdoing have been investigated, and those guilty held accountable. It secured, for example, the conviction of a suburban mayor in the traffic reflectors case, now on appeal. For cause, 14 judges have been suspended, removed, or dismissed, bringing to a total of 30 the judges found erring since 1966."
"145","For the first time, the Philippine Government, through the department, has asserted its right to exercise criminal jurisdiction over criminal offenses in military bases and those committed elsewhere by U.S. military personnel and civilian components where those cases are beyond the competence of courts martial under U.S. law. Henceforth, Philippine courts and fiscals offices will take cognizance of such cases."
"146","An objective analysis will show that while demands for their services have rapidly expanded, there had been no systematic or commensurate support in terms of men, money, and material for our justice agencies. Consistently, the Department of Justice has received less than 2.5% of the national budget. As new duties are laid on the department, its material requirements also increase and must be met if it must fulfill its tasks successfully."
"147","The workload of the Office of the Solicitor General has more than doubled since more courts have been created and more cases appealed. But there has been no corresponding increase in its personnel. The Courts of Agrarian Relations, which are involved in land reform, urgently need competent special field attorneys. The Juvenile and Domestic Relations Courts in Manila, Quezon City, and Iloilo require social workers and technical men, which, at present, they just borrow from other offices. The Court of Industrial Relations must have a striking force capable of responding to urgent cases at places of labor unrest. The Bureau of Prisons needs expert services in psychiatry and psychology for certain inmates. The per capita subsistence allowance for prison inmates is only P0.70, an unrealistic amount. The Deportation Board has no sala or hearing room, nor personnel of its own; its clerical staff is borrowed from different offices. Almost all regular courts, special courts, and fiscals’ offices require minimal library facilities and research material to speed up their disposition of cases. Moreover, certain judges have had no salas of their own nor adequate security and other facilities. The Board of Pardons and Parole has 19,516 released prisoners under its surveillance spread nationwide, but its limited manpower cannot cope with them. Our prisons are so congested that there had been a recurrence of serious disturbances commonly called riots so that now the dispersal of prisoners, particularly gang members, is imperative."
"148","To insure that never again will judicial output of disposed cases fall below par, we will maintain closer supervision of the operations of our courts. Certificates of work accomplished will be scrutinized, and in case of any falsification, prompt action will be taken. No judge will be promoted or transferred if his sala has a heavy backlog of cases. Performance of judges due for retirement or wishes to resign will be assessed so that none will leave unless all cases already submitted for decision are disposed of within a reasonable time. Only those employees, particularly stenographers, whose performance is beyond reproach will be considered for advancement."
"149","While observing retrenchment measures to promote austerity and economy in the public service, we will also focus on revenue-producing functions of the department. Increased earnings for the government will be stressed through intensified, prompt, and proper collections of fees and dues. Promotion of tourism and investments will be supported through appropriate bureaus like the Bureau of Immigration. The police agencies, the fiscals’ offices, and the courts will render prompt assistance to our visitors who are victims of crime and other offenses. At the same time, we will press for the implementation of laws designed to enhance law and order as well as reforms, such as the expropriation and redistribution of landed estates, to promote our economic development and social justice."
"150","We have increased the general fund support for state colleges and universities by 30%, the highest in our history."
"151","We have organized a fund for assistance to private education, which provides grants, loans, and other aid to improve the facilities and raise the quality of instruction and research in our private higher education institutions."
"152","We have, for the first time in our history, organized an education planning office to rationalize the management of our educational system by developing a systems approach to education and thereby relating it to our needs and resources."
"153","Meantime, the President’s Educational Survey Commission has been organized. This commission will recommend ways and means to research our broad human resources development goals, to relate educational operations to manpower requirements, to channel national resources to strategic educational projects, to promote development-oriented values in our schools, and to improve the management and structure of the entire educational system."
"154","Such recommendations of the commission as are adopted will be implemented partly through external financing, for which the preliminary steps have already been undertaken."
