country,year,text,context
Russia,2008,this is why we will overcome the global financial crisis and emerge from it stronger than ever.now i would like to speak about our values.,PAFA
Russia,2008,they are well known.,PAFA
Russia,2008,"there is justice, which we understand as political equality, honest courts and responsible leaders.",PAFA
Russia,2008,"justice is embodied in practice as social guarantees and the fight against poverty and corruption, the efforts to give each individual a decent place in our society and give the russian nation as a whole a worthy place in the system of international relations.there is freedom – personal, individual freedom.it means economic freedom, freedom of speech and religion, freedom to choose one’s place of residence and one’s job.",PAFA
Russia,2008,"and there is general national freedom, the independence and freedom of the russian state.",PAFA
Russia,2008,there is the welfare and dignity of human life.,PAFA
Russia,2008,there is interethnic peace and the unity of diverse cultures.,PAFA
Russia,2008,"there is protection for small peoples, and the recognition of south ossetia’s and abkhazia’s independence is an example of this protection.there are family traditions, love and faithfulness, care for the young and for the old.there is patriotism, along with the most sober and critical look at our country’s history and our far from ideal present, belief in russia that shines through no matter what the circumstances, deep-rooted love for our native land and our great culture.these are our values, the foundations of our society and our moral beacons.",PAFA
Russia,2008,"to put things more simply, it is these self-evident things that we all understand that are what make us a single people, what make us russia.these are the things that we will never give up no matter what the circumstances.",PAFA
Russia,2008,our values form our vision of the future.,PAFA
Russia,2008,we aspire to a fair society of free people.,PAFA
Russia,2008,we know that russia will be a prosperous and democratic country.,PAFA
Russia,2008,it will be a strong country that offers its people a comfortable life.,PAFA
Russia,2008,"it will be the best country in the world for the most talented, demanding, independent and critically-inclined citizens.i want you all to know that our goals remain unchanged.",PAFA
Russia,2008,"the sharp fluctuations in the political and economic situation, the turbulence in the world economy and even the rise in military and political tension will not serve as a pretext for dismantling democratic institutions or for nationalising industry and finance.",PAFA
Russia,2008,citizens’ political freedom and private property are sacred.i want to stress that the state authorities will fulfil all their commitments to the public.,PAFA
Russia,2008,"the government cabinet and the executive authorities at every level in their daily work will pay the utmost attention to people’s savings, pensions and all the social guarantees and will fulfil their responsibilities.",PAFA
Russia,2008,"in this respect, i remind the heads of the ministries and agencies, the country’s regional authorities and the local government institutions that, in accordance with article 7 of the russian constitution, the russian federation is a social state that ensures free development for individuals and at the same time provides social protection.",PAFA
Russia,2008,any infringements of civic freedoms and any action that worsens people’s material situation are therefore not only amoral but also illegal.,PAFA
Russia,2008,much has already been done to protect our economy from external risks.,PAFA
Russia,2008,it was not in vain that we built up our gold and currency and budget reserves.,PAFA
Russia,2008,it was not in vain that we moved over to medium-term budget planning.,PAFA
Russia,2008,as soon at the global financial crisis began making its effects felt on our financial system we took rapid steps to normalise the situation.,PAFA
Russia,2008,"the government adopted an action programme to minimise the effects of the crisis in russia, improve the banking system’s health and support specific economic sectors.",PAFA
Russia,2008,the important thing now is to implement these measures in full.,PAFA
Russia,2008,"i draw the attention of the government, the central bank and all the state organisations to the fact that there can be no delay in implementing these measures.",PAFA
Russia,2008,we need to remove the ‘financial clots’ that have formed in our economy.,PAFA
Russia,2008,we need to take action to ensure that the money allocated gets to the final recipients.,PAFA
Russia,2008,"i am referring here to the enterprises in crucial sectors such as agriculture, construction, machine-building and the defence industry.",PAFA
Russia,2008,i am also talking about small businesses.,PAFA
Russia,2008,in this situation it is important that each rouble be spent effectively and wisely.we should not delude ourselves that the economic crisis is anywhere near over yet.,PAFA
Russia,2008,we need to keep our wits about us throughout this period and pay close attention to the effectiveness of our work and the justification of our new plans and programmes.,PAFA
Russia,2008,"this applies to the state, business, and to each individual.i am sure that we will manage to resolve all of these difficulties and will soon put in place a modern and independent financial system able to withstand any external challenges and ensure stable solutions to its own tasks.what we need more than anything today is trust and cooperation.",PAFA
Russia,2008,we must not delay the implementation of our strategic programmes not even for a day.,PAFA
Russia,2008,in this situation we need to keep one step ahead.,PAFA
Russia,2008,it is now that we need to lay the foundations that will enable our country to compete in areas where future benefits are to be gained.,PAFA
Russia,2008,we need to work fast to occupy niches in the world economy that are still free.,PAFA
Russia,2008,we need to build new and effective enterprises and spread the use of the most advanced technology.,PAFA
Russia,2008,"this is one of the best anti-crisis ‘medicines’ possible, and it is also an intrinsic part of the ideology on which our country’s modern development is based.our economic policies are based on the concept already declared of the four ‘i’s – institutions, investment, infrastructure and innovation.",PAFA
Russia,2008,this concept has been cemented in the government-approved development concept for the period through to 2020.,PAFA
Russia,2008,we need to implement it in full.,PAFA
Russia,2008,and we need to add a fifth i too – intellect.,PAFA
Russia,2008,"our priority is to produce (and eventually export) knowledge, new technology and advanced culture, cutting-edge achievements in science, education and the arts in other words.",PAFA
Russia,2008,we must be at the cutting edge of innovation in the main economic sectors and in public life.,PAFA
Russia,2008,"neither the state nor the business world can afford to skimp on these priorities, not even in a difficult financial situation.",PAFA
Russia,2008,"our policies are based on an ideology which has people at its centre, people as individuals and citizens, people who are guaranteed equal opportunities from birth.",PAFA
Russia,2008,"their success in life depends on their personal initiative and independence, and on their abilities to innovate and create.",PAFA
Russia,2008,this is more important now than ever before for our country.i repeat that we simply must consolidate around our national priorities.,PAFA
Russia,2008,"the worst thing that could happen in the current situation is to descend into settling scores and dishonest competition, including through use of the administrative resources.",PAFA
Russia,2008,"i draw the attention of the civil servants, staff of the law enforcement agencies, and company officials to the fact that this kind of behaviour is unacceptable and immoral.",PAFA
Russia,2008,"it is easy to earn oneself a reputation today, but just as easy to lose it, and it will take a long time to restore one’s good name, if this is even possible at all.",PAFA
Russia,2008,"those who want to make some ‘easy’ political capital out of the global economic crisis, who have their hearts set on populist chatter and want to destabilise society in order to satisfy their personal ambitions, i advise them to read the constitution.",PAFA
Russia,2008,i consider it my duty to warn those who seek to provoke tension in the political situation.,PAFA
Russia,2008,"we will not allow anyone to inflame social and interethnic strife, deceive people and draw them into illegal action.",PAFA
Russia,2008,we will continue to maintain constitutional order through all the legal means.i remind you that the russian constitution celebrates its fifteenth anniversary in december.,PAFA
Russia,2008,"what is important is not the date itself of course, but the fact that it is the constitution that upholds freedom and justice, human dignity and welfare, protection of family and fatherland, and the unity of our multiethnic people – not just as common values but as legal concepts.",PAFA
Russia,2008,"in other words, the constitution gives them force in practice and supports them with all the resources of the state and with all of its own authority.",PAFA
Russia,2008,"the constitution forms our social institutions and the way of life of millions of people.it is for this reason that in my first address to the federal assembly i feel it necessary to set out my vision of the fundamental laws governing our life, the goals and values of our society, cemented in the constitution and thus having a direct influence on every aspect of our domestic and foreign policy.",PAFA
Russia,2008,"i would like to give a brief analysis of how these goals and values have ensured the development of russia’s statehood, and i want to say a few words in particular on the following points.first is the decisive role the constitution has played in developing democracy in russia.",PAFA
Russia,2008,"as i said, the personal freedom and the maturity of the democratic institutions and procedures that it guarantees are the source for our continued development.",PAFA
Russia,2008,"now, as we come to a new stage in our development, we are setting new goals that call for greater participation by our citizens, political parties and other public institutions.",PAFA
Russia,2008,i will name these new goals.,PAFA
Russia,2008,"second is the constitution’s importance in developing a new legal system and independent courts, and in combating corruption and legal nihilism.",PAFA
Russia,2008,i note that legal nihilism is not a new phenomenon in russia but is something that has its roots deep in our distant past.,PAFA
Russia,2008,fifteen years is too short a time to eradicate such deeply-rooted traditions.,PAFA
Russia,2008,but it is also true that we have not yet made a deep-reaching systemic attempt to address this problem of disregard for the law.,PAFA
Russia,2008,third is the role the constitution plays in continued expansion of free enterprise and economic freedom.,PAFA
Russia,2008,"this is the key to successful development of a middle class, growth of small and medium businesses and the establishment of an innovation economy.fourth is the implementation of the social guarantees set out in the constitution: wages, benefits, pensions and savings.",PAFA
Russia,2008,i repeat that the state authorities will continue to fulfil their commitments to the public even in today’s difficult situation.,PAFA
Russia,2008,i want to remind you too that the constitution prohibits propaganda of social superiority.,PAFA
Russia,2008,"this is a moral law that also has legal force in our country.finally, fifth, the constitution also plays its part in bolstering international law.",PAFA
Russia,2008,"international law, as we know, is made up of states’ observance of their national constitutions and their commitments under international agreements and treaties.",PAFA
Russia,2008,"therefore, the better states coordinate their actions on the international stage with the provisions of international law, the greater the level of security in our world.",PAFA
Russia,2008,"colleagues,the constitution paves the way for russia’s renewal as a free nation and a society that holds law and the dignity of each individual as its highest values.the cult of the state and the illusory wisdom of the administrative apparatus have prevailed in russia over many centuries.",PAFA
Russia,2008,"individuals with their rights and freedoms, personal interests and problems, have been seen as at best a means and at worst an obstacle for strengthening the state’s might.",PAFA
Russia,2008,this view endured throughout many centuries.,PAFA
Russia,2008,"i would like to quote pyotr stolypin, who said, “what we need to do first is create citizens, and once this has been achieved civic spirit will prevail of its own accord in russia.",PAFA
Russia,2008,"first comes the citizen and then the civic spirit, but we have usually preached the other way round”.",PAFA
Russia,2008,"this is why the adoption in 1993 of a constitution proclaiming the individual, their life, rights and property as the highest value was an unprecedented event in russia’s history, and we should thank all those who took part in drafting and adopting this document.",PAFA
Russia,2008,"some of them are present here today.today, at a new stage in its development, russian society affirms its commitment to the constitution’s democratic values.",PAFA
Russia,2008,it has for the most part become familiar with the practice and procedures of democracy.,PAFA
Russia,2008,"not so long ago, democracy was associated in our people’s minds with chaos, helplessness and degradation, but the new russia has proven its ability to fulfil its social commitments and ensure economic growth, guarantee our people’s rights and demand compliance with the law, and successfully combat terrorism and outside aggression.not so long ago, 15 years ago, people were still asking themselves whether or not democracy was the road forward for russia.",PAFA
Russia,2008,"today the answer is clear, democracy is the way forward, and no one disputes this now.",PAFA
Russia,2008,"the question today is how russia’s democracy should continue its development.i think that russia’s people are much readier now for free activity (professional, public and political) than they were at the start of reforms.",PAFA
Russia,2008,they have no need for the state to look after their every step.,PAFA
Russia,2008,more and more people rely on themselves above all and believe that their personal success – and thus the country’s success too – depends on themselves and their personal achievements.,PAFA
Russia,2008,"this means it is absolutely essential and also possible to increase the level of trust in society.but as was the case 20 years ago, the bureaucracy still does not trust free citizens and free activity.",PAFA
Russia,2008,this logic pushes it into dangerous conclusions and acts.,PAFA
Russia,2008,"the bureaucracy from time to time casts fear over the business world, pressuring it to keep in line and not to take what they consider wrong action, takes control of this or that media outlet, trying to stop it from saying what they consider the wrong thing, meddles in the electoral process, preventing the election of what they consider the wrong person, and puts pressure on the courts, stopping them from handing down what they consider the wrong verdict.",PAFA
Russia,2008,"the result is that the state bureaucracy is the biggest employer, most active publisher, best producer, and is its own court, own political party, and ultimately its own people.",PAFA
Russia,2008,this is a completely ineffective system and leads only to corruption.,PAFA
Russia,2008,"it gives rise to legal nihilism on a mass scale, goes counter to the constitution, and hinders the development of innovative economic and democratic institutions.a strong state and an all-powerful bureaucracy are not one and the same thing.",PAFA
Russia,2008,"civil society needs a strong state as a tool for development and maintaining order, and for protecting and strengthening democratic institutions.",PAFA
Russia,2008,but an all-powerful bureaucracy is a mortal danger for civil society.,PAFA
Russia,2008,"this is why our society must continue calm and steady work to build up its democratic institutions and not delay this work.the democratic institutions established over these years (established by decree from above, it must be said) need to develop roots in all groups in society.",PAFA
Russia,2008,"for this to happen, we need to constantly prove that the democratic system is the one that works.",PAFA
Russia,2008,"we also need to entrust a growing number of social and political responsibilities directly to our citizens, their organisations and local self-government.",PAFA
Russia,2008,"of course the state will retain the responsibilities that fall within its jurisdiction, and action must be pragmatic and accompanied by a sober assessment of the risks, but action is necessary.above all therefore, i propose taking measures to improve the level and quality of public representation in government, measures that will encourage the public to become more involved in political life.",PAFA
Russia,2008,more than 90 percent of voters voted for the parties that entered the state duma in 2007.,PAFA
Russia,2008,but there were almost five million people who voted for parties that did not make it into the state duma.,PAFA
Russia,2008,"these people have no representation at federal level, though they showed their civic activeness and went to vote in the election.",PAFA
Russia,2008,this is an unfair situation and something must be done about it.,PAFA
Russia,2008,"i do not think, however, that it is necessary at this point to lower the barrier set by law for entry to the state duma.",PAFA
Russia,2008,my first proposal is therefore to give guarantees for voters who vote for the so-called small parties.,PAFA
Russia,2008,i think that parties that have received from 5–7 percent of the vote could be given a guaranteed one or two seats in the state duma.,PAFA
Russia,2008,"this would make it possible to keep in place the system of incentives for consolidation of the big parties, something we have been working on these last years, the parties that form the main frame of our national political system.",PAFA
Russia,2008,"and at the same time, it would ensure a parliamentary tribune for the small parties that represent the interests of a sizeable number of people.second, i think it possible that nominations of heads of the executive authorities in the regions could be made only by the parties that have won the biggest number of votes in the regional elections, and by no one else.",PAFA
Russia,2008,"this would mean that only public, open political organisations representing the bulk of the country’s population would have the right to put forward candidacies for these posts.third, the practice of having to provide a sum of money as collateral should be abolished for elections at every level.",PAFA
Russia,2008,"it is not money that should decide participation in elections but people’s opinions, the party’s reputation and voters’ confidence in its programme.we should also discuss gradual reduction of the number of voters’ signatures that need to be collected for participation in elections to the state duma.",PAFA
Russia,2008,parties that receive more than five percent of the vote in the next election to the state duma or that have a faction in more than a third of the regional parliaments should be exempted altogether from collecting signatures.,PAFA
Russia,2008,"currently, only parties that have a faction in the state duma are exempt from this requirement.",PAFA
Russia,2008,"fourth, the federation council should be made up only of people elected to the representative assemblies and deputies from the local self-government bodies of the region in question.",PAFA
Russia,2008,the residence requirement that requires members of the federation council to have lived for a particular number of years in the region should be abolished.,PAFA
Russia,2008,"in this way, people who have gone through a procedure of public election, have experience of working with voters and represent not only the regional authorities but most importantly represent the region’s people will work in the federation council.the necessary changes should be carried out without upheavals and big shuffles of personnel, allowing a transition period and measures to preserve the federation council’s human resource potential.fifth, there should be gradual reduction of the minimum number of members required for registering a new political party.sixth, amendments should be made to law on political parties making it compulsory to carry out rotation of the party’s leadership so that one and the same person cannot occupy a leadership post in the party for longer than a set term.seventh, the representative bodies of local self-government should be able to have more effective control over and, if necessary, even remove from office the heads of municipalities.",PAFA
Russia,2008,it is long since time to address the issue of making municipal heads more responsible for the quality and results of their work.giving the local government representative bodies these kinds of important powers also implies greater quality demands on their own work.,PAFA
Russia,2008,"they should be elected with the most active participation of local people’s political and non-political groups – human rights groups, volunteer organizations, philanthropic and educational organizations and so on.",PAFA
Russia,2008,i remind you that the law allows for not only political parties but also public organizations to put forward electoral lists for municipal elections.,PAFA
Russia,2008,but most parties and public organizations are still poorly represented on municipal councils.,PAFA
Russia,2008,this provision in the law should be made to work effectively.,PAFA
Russia,2008,"eighth, i ask you to take additional measures to encourage non-governmental organisations and the public council to become more involved in the legislative process.",PAFA
Russia,2008,"i think it would be useful to have these groups take compulsory part in examining draft laws that affect the most important issues for our people: people’s freedoms, healthcare issues, property issues.",PAFA
Russia,2008,this would require amendments to be made accordingly to the rules and regulations of the state duma and the federation council.,PAFA
Russia,2008,"ninth, parliamentary parties should have clear guarantees that their work will be covered by the state media.tenth, freedom of speech should be backed up by technological innovation.",PAFA
Russia,2008,experience shows that it is practically of no use to persuade the bureaucrats to ‘leave the media in peace’.,PAFA
Russia,2008,"instead of persuading, we should work more actively to expand the free internet and digital television space.",PAFA
Russia,2008,no bureaucrat can obstruct discussion on the internet or censor thousands of channels at once.i am sure that these measures will help to raise the quality of public representation and make it possible to take public interests into account better.,PAFA
Russia,2008,"it will give people greater trust in government and increase solidarity within society.citizens of russia, friends,i have just set out concrete steps to take to develop civil society and a democratic state.",PAFA
Russia,2008,"these steps are dictated by our desire to see russia become an advanced and progressive country in the nearest future, a country that offers people a comfortable life, and is a prosperous community of free people based on fair laws.",PAFA
Russia,2008,these are priority tasks and we must act without delay.,PAFA
Russia,2008,there can be no doubt that we will work together to continue this process of democratic transformation.we have a lot of work and serious steps ahead.,PAFA
Russia,2008,this includes continued decentralisation and humanisation of the social organisation and political system.,PAFA
Russia,2008,"the freer and more diverse our public life, the more dynamic our economy and the more intense our political competition, the more solid and stable will be the fundamental institutions of our democracy, the pillars that hold up the whole edifice of the democratic state.i think many will agree with me that the russian political culture and our public opinion give this role primarily to the president and the federal parliament as the two main institutions of state power at the highest level, and the two institutions distinguished by the fact that they are elected through national popular ballot and act on behalf of the entire country.i am sure that our movement towards freedom and democracy will be successful and sustained only if the president and state duma can maintain a high level of authority founded not only on election campaign promises but also on the practical results of their work, and if they have enough time to put their promises into practice and really demonstrate the results of their work to the people, give an account of their performance to the voters and the country.today we are carrying out long-term development programmes and are in the process of making a transition to a new type of economy.",PAFA
Russia,2008,"we find ourselves at the same time having to address a whole host of difficult issues: overcome the global crisis and the difficulties of competition, modernise our armed forces and manage a huge and complex ethnically and culturally mixed country, and in these conditions strengthen our democratic institutions and maintain stability.",PAFA
Russia,2008,"this is not all we have before us, but these are the most important reasons motivating me to make two proposals.first, we need to give the federal assembly greater constitutional powers.",PAFA
Russia,2008,"the state duma should be given responsibility for carrying control functions (article 103) with regard to the executive authorities, and there should be a constitutional provision requiring the cabinet to report annually to the state duma on the results of its work and answer questions put directly by the parliament.second, we should increase the constitutional mandates of the president and state duma to six and five years respectively.these issues have been raised repeatedly since the 1990s.",PAFA
Russia,2008,discussions on these subjects have gone on for a long time.,PAFA
Russia,2008,"many have made reference to history, which abounds with examples of democratic countries changing the terms and mandates of their state bodies.i will not list all of these examples.",PAFA
Russia,2008,these cases are well known.,PAFA
Russia,2008,"what i want to say is that we are not talking about constitutional reform but about adjustments to the constitution, about adjustments that are important but are nonetheless no more than clarifications and do not change the political and legal essence of the current institutions.",PAFA
Russia,2008,these adjustments provide rather an additional resource for the institutions’ stable work.,PAFA
Russia,2008,there is no place for a ‘reforming itch’ with regard to the constitution.,PAFA
Russia,2008,"the constitution is effective, it works, and its basic provisions should remain unchanged for many years to come.",PAFA
Russia,2008,"civic rights and freedoms, the nation’s sovereignty, the state system and federal organisation, the organisation principles of the judicial system and local self-government, and the other foundations of our constitutional order have been set for a long-term historical period.",PAFA
Russia,2008,"as the guarantor of the constitution, i will preserve and protect these fundamental provisions.colleagues, corruption is the greatest enemy of a free and democratic society.",PAFA
Russia,2008,you know that the national anti-corruption plan was signed in july and that i have submitted a corresponding package of draft laws to the state duma.,PAFA
Russia,2008,"their main feature is that they take a comprehensive, systemic and targeted approach.",PAFA
Russia,2008,"they are designed above all to eradicate the causes of corruption, which has its roots in the shortcomings in our government and economic mechanisms.",PAFA
Russia,2008,"amendments are now being made to the laws regulating the activities of customs officers, interior ministry personnel, the staff of the prosecutor-general’s office, federal security service, magistrates and court staff, the civil service, municipal staff and others.",PAFA
Russia,2008,it is very important that anti-corruption effort focus on prevention measures and on making it not advantageous to practice corruption.what are the measures proposed?,PAFA
Russia,2008,"first, we need to seriously increase the demands on state and municipal officials.",PAFA
Russia,2008,"by this, i mean requiring them to provide additional information on their incomes and assets, including assets belonging to family members.",PAFA
Russia,2008,"the truthfulness of these declarations will be carefully verified, even through investigative detective work if necessary.second, state and municipal officials should be required to behave in accordance with their codes of ethics.",PAFA
Russia,2008,"failure to comply with these rules should result in disciplinary action and, where necessary, in administrative and criminal liability.",PAFA
Russia,2008,"third, measures are being introduced for criminal penalty of abuse of power by people carrying out management functions in non-state organisations.",PAFA
Russia,2008,"these penalties will correspond to those applied to civil servants.fourth, legal entities will be subject to administrative liability for making a bribe on behalf of or in the interests of a legal entity.",PAFA
Russia,2008,there are also a whole series of other measures that are well known now.,PAFA
Russia,2008,"furthermore, control will be established over the assets situation of people with special legal status, above all judges.these measures are strict, but they are necessary.",PAFA
Russia,2008,"as nikolai korkunov, a pre-revolutionary specialist in state law rightly noted, “affirming the law always comes across as an attack on the arbitrariness of those in power”.",PAFA
Russia,2008,our preferences here are obvious.i think that by creating the legal basis for our anti-corruption efforts we will lay a good foundation for this work.,PAFA
Russia,2008,this will enable us to build our work in a systemic and consistent fashion and take additional measures should the need arise.,PAFA
Russia,2008,"i hope that this package of laws will be adopted very soon and successfully put into practice.of course, aside from legislative measures we also need to improve the way our state bodies work and optimise and clarify their powers.",PAFA
Russia,2008,we need to ensure competition and objectivity when holding tenders and concluding state or municipal contracts.,PAFA
Russia,2008,we need to remove unjustified restrictions and prohibitions in economic activity and establish conditions for effective targeted support for people in the social sphere.now i would like to say a few words about developing the judicial system.,PAFA
Russia,2008,we know that an independent and honest court is the basis for a just public order.,PAFA
Russia,2008,"as our democratic state grows stronger, the courts will begin to play an even greater role.the problems of creating a judicial system have in large measure been resolved.",PAFA
Russia,2008,"this includes expanding the jurisdiction of the courts in dealing with complaints against state bodies and officials, as well as offering compensation for damage done by their illegal actions.in the near future other innovations will be introduced.",PAFA
Russia,2008,"for example, i have asked that a report be prepared on the possibility of transferring problems concerning the activities of magistrates to the federal level.",PAFA
Russia,2008,this would require certain expenditures but the resolution of such problems would complete the formation of a coherent judicial hierarchy.,PAFA
Russia,2008,i am also introducing a bill to reduce the duration of civil cases and to introduce penalties for the creation of obstacles designed to drag out court proceedings excessively.,PAFA
Russia,2008,"in addition, it is necessary to establish a mechanism for addressing the damage caused by violations of citizens’ rights to trial within a reasonable time, and to guarantee the full and timely implementation of court decisions.finally, in the near future we will adopt a law “on ensuring access to information concerning the activities of courts in the russian federation“.",PAFA
Russia,2008,it will apply to all the courts and give people the opportunity to obtain reliable information about the functioning of the judicial system.,PAFA
Russia,2008,"in addition, for the first time it will provide a detailed account of various forms of disclosure, including via the internet.such changes will clarify and explain judicial rules and procedures for citizens.",PAFA
Russia,2008,and in the final analysis it will help strengthen the national mechanism for application of the european convention on human rights and fundamental freedoms.,PAFA
Russia,2008,"in doing so, we need to make a number of important decisions.",PAFA
Russia,2008,"above all, it is crucial that there be a strict enforcement of judgments.",PAFA
Russia,2008,this is an important part of citizens' rights to a fair trial.i want to stress that the execution of court decisions is still a huge problem.,PAFA
Russia,2008,"and this is the problem of all courts, including the constitutional court.",PAFA
Russia,2008,of course problems vary but they do have one thing in common: a lack of real accountability on the part of officials together with citizens themselves who neglect to execute court decisions.,PAFA
Russia,2008,this responsibility should be assumed.we must not forget about such a fundamental issue as humanizing the law and the ways it is applied.,PAFA
Russia,2008,the courts should be more careful when choosing to bring accused in custody and punish the convicted by excluding them from society.,PAFA
Russia,2008,"at the same time, law enforcement agencies and the judicial system must ensure the effective protection of the rights and interests of victims of crimes.as everybody knows, the law must be seen as more than just the product of pragmatic measures but also as “the condition of genuinely human existence”, as the famous russian lawyer boris chicherin once put it.",PAFA
Russia,2008,and i think that the discussion at the 7th congress of judges of all the above innovations and the existing problems will give judicial reform in this country an important new impetus.the introduction of local self-government institutions and strengthening the federal basis of the state has been of fundamental importance for our society.,PAFA
Russia,2008,"as you know, government policies in these matters are largely arrived at by trial and error, based on the experience of other states and the ways older forms of federalism have developed in the world.",PAFA
Russia,2008,"yet russia is the most multi-regional, multi-national and multi-confessional nation in the world.",PAFA
Russia,2008,for this reason what we have undertaken today is being undertaken for the very first time.let me remind you that on 1 january 2009 the transition period established for the implementation of all the provisions of the federal law ”on general principles of local self-government in the russian federation“ ends.,PAFA
Russia,2008,but we will continue to improve this legislation.i must say that that in two regions of the russian federation – the chechen republic and ingushetia – there is no local self-government.,PAFA
Russia,2008,"that is, citizens of these republics are being unjustly deprived of their constitutional rights.",PAFA
Russia,2008,"i know that the leadership of these regions is planning a form of local self-government by october next year, and i encourage them in this endeavour.now a few words on the further development of russian federalism.",PAFA
Russia,2008,its modern form was established on the basis of the constitution.,PAFA
Russia,2008,the constitutional court played a special role in its formation.,PAFA
Russia,2008,"in its decisions it has had to find a balance between the interests of different levels of government, and settle some quite sharp disagreements.",PAFA
Russia,2008,"this applies to disputes between the federal and regional authorities, and disputes about the various ways of creating a local government.",PAFA
Russia,2008,and we are still confronted with these problems today.what is especially important for us today?,PAFA
Russia,2008,the first thing is to achieve an optimal balance of power between the federation and the regions.,PAFA
Russia,2008,"as you know, we have done a good job, a great job on this.",PAFA
