country,year,word,n.x,total.x,idf.x,tf_idf.x,context.x,tf.x,n.y,total.y,idf.y,tf_idf.y,context.y,tf.y,sentiment
CHN,1992,economy,74,8458,-4.148411783492376,-0.0016415033820025122,SOTU,3.956944169656655e-4,3,1554,-4.148411783492376,-6.654743440550725e-5,UNGD,1.6041665552662113e-5,economic
PHL,1970,economic,74,12668,-4.422848629194137,-5.970466040726658e-4,SOTU,1.3499141709976412e-4,3,773,-4.422848629194137,-2.4204592056999964e-5,UNGD,5.472625017558005e-6,economic
CHN,2002,economic,73,9787,-4.422848629194137,-0.0017264465568231726,SOTU,3.903471951147781e-4,7,851,-4.422848629194137,-1.6554966983235904e-4,UNGD,3.74305529562116e-5,economic
CHN,1977,revolutionary,72,9606,-2.382627800667582,-9.173116395548217e-4,SOTU,3.849999732638907e-4,10,2880,-2.382627800667582,-1.2740439438261415e-4,UNGD,5.3472218508873714e-5,moral
CHN,2007,economic,72,10438,-4.422848629194137,-0.0017027966039899784,SOTU,3.849999732638907e-4,8,1185,-4.422848629194137,-1.8919962266555318e-4,UNGD,4.2777774807098974e-5,economic
CHN,2017,socialism,71,12370,-1.845826690498331,-7.007731816792496e-4,SOTU,3.796527514130034e-4,2,1119,-1.845826690498331,-1.9740089624767593e-5,UNGD,1.0694443701774743e-5,moral
USA,1981,security,71,16559,-4.400603020246817,-9.354407239316779e-4,SOTU,2.1257103165811392e-4,9,1661,-4.400603020246817,-1.1857699317443805e-4,UNGD,2.6945623731310216e-5,security
PHL,1971,economic,70,13494,-4.422848629194137,-5.647738146633324e-4,SOTU,1.2769458374302012e-4,15,2390,-4.422848629194137,-1.2102296028499981e-4,UNGD,2.7363125087790026e-5,economic
PHL,1972,economic,70,15414,-4.422848629194137,-5.647738146633324e-4,SOTU,1.2769458374302012e-4,11,1920,-4.422848629194137,-8.875017087566652e-5,UNGD,2.006629173104602e-5,economic
PHL,1978,development,70,7472,-4.398555936625092,-5.616717693977311e-4,SOTU,1.2769458374302012e-4,2,1204,-4.398555936625092,-1.6047764839935174e-5,UNGD,3.6484166783720036e-6,economic
USA,1981,development,70,16559,-4.398555936625092,-9.218364806732707e-4,SOTU,2.0957707346574612e-4,37,1661,-4.398555936625092,-4.8725642549872885e-4,UNGD,1.1077645311760867e-4,economic
CHN,1997,economy,68,9678,-4.148411783492376,-0.0015084085131914977,SOTU,3.6361108586034126e-4,2,1091,-4.148411783492376,-4.4364956270338174e-5,UNGD,1.0694443701774743e-5,economic
USA,1981,health,67,16559,-3.915350795520821,-7.854005715463045e-4,SOTU,2.0059519888864272e-4,3,1661,-3.915350795520821,-3.516718977073005e-5,UNGD,8.981874577103405e-6,environmental
GHA,2016,roads,64,9976,-3.036554268074246,-0.0017456634343578083,SOTU,5.748830023264796e-4,1,1574,-3.036554268074246,-2.7275991161840755e-5,UNGD,8.982546911351244e-6,economic
CHN,2012,economic,62,11314,-4.422848629194137,-0.001466297075658037,SOTU,3.3152775475501703e-4,13,1505,-4.422848629194137,-3.074493868315239e-4,UNGD,6.951388406153583e-5,economic
CHN,1987,socialism,61,9809,-1.845826690498331,-6.020727335554116e-4,SOTU,3.2618053290412965e-4,1,2113,-1.845826690498331,-9.870044812383796e-6,UNGD,5.347221850887372e-6,moral
PHL,1972,rice,60,15414,-2.512305623976115,-2.749781321904672e-4,SOTU,1.094525003511601e-4,3,1920,-2.512305623976115,-1.374890660952336e-5,UNGD,5.472625017558005e-6,economic
PHL,1983,economic,60,4992,-4.422848629194137,-4.8409184113999926e-4,SOTU,1.094525003511601e-4,5,1048,-4.422848629194137,-4.03409867616666e-5,UNGD,9.121041695930008e-6,economic
CHN,1977,army,59,9606,-2.908720896564361,-9.176609802382579e-4,SOTU,3.1548608920235494e-4,1,2880,-2.908720896564361,-1.555357593624166e-5,UNGD,5.347221850887372e-6,security
CHN,1977,class,58,9606,-2.9356283494842854,-9.104524512739145e-4,SOTU,3.1013886735146756e-4,1,2880,-2.9356283494842854,-1.56974560564468e-5,UNGD,5.347221850887372e-6,economic
CHN,2002,economy,57,9787,-4.148411783492376,-0.0012644012537046379,SOTU,3.047916455005802e-4,2,851,-4.148411783492376,-4.4364956270338174e-5,UNGD,1.0694443701774743e-5,economic
PHL,1973,development,56,5004,-4.398555936625092,-4.4933741551818487e-4,SOTU,1.0215566699441609e-4,11,2073,-4.398555936625092,-8.826270661964346e-5,UNGD,2.006629173104602e-5,economic
PHL,1976,economic,56,6688,-4.422848629194137,-4.518190517306659e-4,SOTU,1.0215566699441609e-4,17,1719,-4.422848629194137,-1.3715935498966644e-4,UNGD,3.101154176616203e-5,economic
ZAF,2004,development,55,5095,-4.398555936625092,-0.0021958843288951624,SOTU,4.992284650993918e-4,3,856,-4.398555936625092,-1.1977550884882704e-4,UNGD,2.7230643550875918e-5,economic
CHN,2007,cultural,54,10438,-3.3081069585961433,-9.552158179602045e-4,SOTU,2.8874997994791804e-4,2,1185,-3.3081069585961433,-3.537836362815573e-5,UNGD,1.0694443701774743e-5,moral
PHL,1971,labor,54,13494,-3.2321210516182215,-3.183873574835118e-4,SOTU,9.85072503160441e-5,1,2390,-3.2321210516182215,-5.8960621756205896e-6,UNGD,1.8242083391860018e-6,economic
PHL,1997,development,54,4882,-4.398555936625092,-4.3328965067824973e-4,SOTU,9.85072503160441e-5,12,1127,-4.398555936625092,-9.628658903961105e-5,UNGD,2.189050007023202e-5,economic
PHL,1999,poverty,54,5662,-3.951243718581427,-3.8922615404599753e-4,SOTU,9.85072503160441e-5,2,1193,-3.951243718581427,-1.4415783483185093e-5,UNGD,3.6484166783720036e-6,economic
USA,1981,rights,51,16559,-4.248495242049359,-6.487106738936346e-4,SOTU,1.526918678107579e-4,1,1661,-4.248495242049359,-1.2719817135169306e-5,UNGD,2.9939581923678016e-6,moral
CHN,1982,economy,50,9245,-4.148411783492376,-0.0011091239067584542,SOTU,2.673610925443686e-4,3,1782,-4.148411783492376,-6.654743440550725e-5,UNGD,1.6041665552662113e-5,economic
PHL,1983,development,50,4992,-4.398555936625092,-4.0119412099837935e-4,SOTU,9.121041695930008e-5,4,1048,-4.398555936625092,-3.209552967987035e-5,UNGD,7.296833356744007e-6,economic
PHL,1971,rate,48,13494,-3.6971782569286313,-3.2373232357182604e-4,SOTU,8.756200028092809e-5,1,2390,-3.6971782569286313,-6.744423407746376e-6,UNGD,1.8242083391860018e-6,economic
PHL,1977,economic,48,4722,-4.422848629194137,-0.00038727347291199943,SOTU,8.756200028092809e-5,6,938,-4.422848629194137,-4.840918411399993e-5,UNGD,1.094525003511601e-5,economic
PHL,1979,development,48,6298,-4.398555936625092,-3.851463561584442e-4,SOTU,8.756200028092809e-5,4,1096,-4.398555936625092,-3.209552967987035e-5,UNGD,7.296833356744007e-6,economic
PHL,1981,development,46,4322,-4.398555936625092,-3.690985913185091e-4,SOTU,8.391358360255609e-5,6,1383,-4.398555936625092,-4.8143294519805526e-5,UNGD,1.094525003511601e-5,economic
USA,1981,human,46,16559,-4.269697449699962,-5.880316002892111e-4,SOTU,1.377220768489189e-4,5,1661,-4.269697449699962,-6.391647829230554e-5,UNGD,1.4969790961839008e-5,moral
GHA,2014,economy,45,9801,-4.148411783492376,-0.0016768486553770147,SOTU,4.04214611010806e-4,1,1091,-4.148411783492376,-3.726330345282255e-5,UNGD,8.982546911351244e-6,economic
PHL,1972,growth,44,15414,-4.127134385045092,-3.3126513033418406e-4,SOTU,8.026516692418407e-5,1,1920,-4.127134385045092,-7.528752962140547e-6,UNGD,1.8242083391860018e-6,economic
PHL,1974,revolution,44,6990,-3.120895416507997,-2.504991915589354e-4,SOTU,8.026516692418407e-5,1,2032,-3.120895416507997,-5.693163444521258e-6,UNGD,1.8242083391860018e-6,moral
PHL,1985,economic,44,6276,-4.422848629194137,-3.550006835026661e-4,SOTU,8.026516692418407e-5,10,1921,-4.422848629194137,-8.06819735233332e-5,UNGD,1.8242083391860016e-5,economic
CHN,1997,market,43,9678,-3.672072335797555,-8.443215735766757e-4,SOTU,2.2993053958815697e-4,3,1091,-3.672072335797555,-5.8906156296047144e-5,UNGD,1.6041665552662113e-5,economic
CHN,2012,security,42,11314,-4.400603020246817,-9.883020263316792e-4,SOTU,2.2458331773726962e-4,16,1505,-4.400603020246817,-3.764960100311159e-4,UNGD,8.555554961419795e-5,security
CHN,2017,security,42,12370,-4.400603020246817,-9.883020263316792e-4,SOTU,2.2458331773726962e-4,5,1119,-4.400603020246817,-1.176550031347237e-4,UNGD,2.6736109254436857e-5,security
PHL,1976,growth,42,6688,-4.127134385045092,-3.16207624409903e-4,SOTU,7.661675024581208e-5,1,1719,-4.127134385045092,-7.528752962140547e-6,UNGD,1.8242083391860018e-6,economic
USA,1994,health,42,2756,-3.915350795520821,-4.923406567902207e-4,SOTU,1.2574624407944766e-4,1,1338,-3.915350795520821,-1.1722396590243351e-5,UNGD,2.9939581923678016e-6,environmental
GHA,2013,development,41,5389,-4.398555936625092,-0.0016199196367604335,SOTU,3.6828442336540103e-4,2,926,-4.398555936625092,-7.90204700858748e-5,UNGD,1.7965093822702488e-5,economic
RUS,2003,economic,41,3152,-4.422848629194137,-0.0012003653573024044,SOTU,2.7140095850875103e-4,3,898,-4.422848629194137,-8.783161150993203e-5,UNGD,1.9858606720152514e-5,economic
USA,1981,oil,41,16559,-3.1570004211501135,-3.8752901824265035e-4,SOTU,1.2275228588707989e-4,3,1661,-3.1570004211501135,-2.8355781822632945e-5,UNGD,8.981874577103405e-6,economic
CHN,2017,economic,40,12370,-4.422848629194137,-9.459981133277659e-4,SOTU,2.1388887403549485e-4,1,1119,-4.422848629194137,-2.3649952833194148e-5,UNGD,5.347221850887372e-6,economic
PHL,1971,exchange,40,13494,-3.2121868367174042,-2.3438792058253568e-4,SOTU,7.296833356744006e-5,1,2390,-3.2121868367174042,-5.859698014563393e-6,UNGD,1.8242083391860018e-6,economic
PHL,1974,development,40,6990,-4.398555936625092,-3.209552967987035e-4,SOTU,7.296833356744006e-5,13,2032,-4.398555936625092,-1.0431047145957865e-4,UNGD,2.3714708409418024e-5,economic
PHL,1978,life,40,7472,-4.255612709818223,-3.105249677438536e-4,SOTU,7.296833356744006e-5,2,1204,-4.255612709818223,-1.5526248387192684e-5,UNGD,3.6484166783720036e-6,moral
ZAF,2014,development,40,5048,-4.398555936625092,-0.0015970067846510273,SOTU,3.6307524734501223e-4,11,791,-4.398555936625092,-4.3917686577903256e-4,UNGD,9.984569301987837e-5,economic
ZAF,2003,development,39,4012,-4.398555936625092,-0.0015570816150347517,SOTU,3.5399836616138697e-4,3,1006,-4.398555936625092,-1.1977550884882704e-4,UNGD,2.7230643550875918e-5,economic
CHN,1982,development,38,9245,-4.398555936625092,-8.937620678335384e-4,SOTU,2.0319443033372012e-4,4,1782,-4.398555936625092,-9.408021766668824e-5,UNGD,2.1388887403549487e-5,economic
CHN,2012,economy,38,11314,-4.148411783492376,-8.429341691364253e-4,SOTU,2.0319443033372012e-4,3,1505,-4.148411783492376,-6.654743440550725e-5,UNGD,1.6041665552662113e-5,economic
PHL,1972,prices,38,15414,-3.5115454388310208,-2.434200379719524e-4,SOTU,6.931991688906807e-5,1,1920,-3.5115454388310208,-6.405790472946116e-6,UNGD,1.8242083391860018e-6,economic
PHL,1984,economic,38,3626,-4.422848629194137,-3.065914993886662e-4,SOTU,6.931991688906807e-5,7,1066,-4.422848629194137,-5.647738146633324e-5,UNGD,1.2769458374302012e-5,economic
PHL,1996,development,38,4198,-4.398555936625092,-3.049075319587683e-4,SOTU,6.931991688906807e-5,16,1335,-4.398555936625092,-1.283821187194814e-4,UNGD,2.918733342697603e-5,economic
CHN,1987,modernization,37,9809,-2.751535313041949,-5.44383580727287e-4,SOTU,1.9784720848283274e-4,2,2113,-2.751535313041949,-2.9426139498772267e-5,UNGD,1.0694443701774743e-5,economic
CHN,2002,modernization,37,9787,-2.751535313041949,-5.44383580727287e-4,SOTU,1.9784720848283274e-4,2,851,-2.751535313041949,-2.9426139498772267e-5,UNGD,1.0694443701774743e-5,economic
CHN,2017,democracy,37,12370,-3.867722746531566,-7.652181485868252e-4,SOTU,1.9784720848283274e-4,1,1119,-3.867722746531566,-2.0681571583427708e-5,UNGD,5.347221850887372e-6,moral
GHA,2016,health,37,9976,-3.915350795520821,-0.0013012834212210009,SOTU,3.32354235719996e-4,3,1574,-3.915350795520821,-1.0550946658548656e-4,UNGD,2.6947640734053733e-5,environmental
RUS,2007,development,37,4329,-4.398555936625092,-0.0010773067072783675,SOTU,2.4492281621521435e-4,12,873,-4.398555936625092,-3.4939676992811917e-4,UNGD,7.943442688061006e-5,economic
RUS,2012,development,37,4582,-4.398555936625092,-0.0010773067072783675,SOTU,2.4492281621521435e-4,3,998,-4.398555936625092,-8.734919248202979e-5,UNGD,1.9858606720152514e-5,economic
ZAF,2009,development,37,5710,-4.398555936625092,-0.0014772312758022004,SOTU,3.3584460379413634e-4,10,690,-4.398555936625092,-3.992516961627568e-4,UNGD,9.076881183625306e-5,economic
CHN,2007,democracy,36,10438,-3.867722746531566,-7.445365770033975e-4,SOTU,1.9249998663194536e-4,2,1185,-3.867722746531566,-4.1363143166855416e-5,UNGD,1.0694443701774743e-5,moral
CHN,2007,economy,36,10438,-4.148411783492376,-7.98569212866087e-4,SOTU,1.9249998663194536e-4,1,1185,-4.148411783492376,-2.2182478135169087e-5,UNGD,5.347221850887372e-6,economic
PHL,1975,economic,36,4812,-4.422848629194137,-2.904551046839996e-4,SOTU,6.567150021069607e-5,18,999,-4.422848629194137,-1.452275523419998e-4,UNGD,3.2835750105348034e-5,economic
PHL,2000,peace,36,5458,-4.396504653854535,-2.8872505630193434e-4,SOTU,6.567150021069607e-5,7,728,-4.396504653854535,-5.614098316982056e-5,UNGD,1.2769458374302012e-5,security
PHL,2002,war,36,3960,-4.265024544000569,-2.800905602399573e-4,SOTU,6.567150021069607e-5,1,689,-4.265024544000569,-7.780293339998813e-6,UNGD,1.8242083391860018e-6,security
ZAF,2009,economic,36,5710,-4.422848629194137,-0.0014452441740127886,SOTU,3.2676772261051103e-4,7,690,-4.422848629194137,-2.8101970050248667e-4,UNGD,6.353816828537714e-5,economic
CHN,1973,revolution,35,3096,-3.120895416507997,-5.840842057920032e-4,SOTU,1.87152764781058e-4,5,2991,-3.120895416507997,-8.344060082742903e-5,UNGD,2.6736109254436857e-5,moral
CHN,2012,democracy,35,11314,-3.867722746531566,-7.238550054199698e-4,SOTU,1.87152764781058e-4,2,1505,-3.867722746531566,-4.1363143166855416e-5,UNGD,1.0694443701774743e-5,moral
GHA,2015,development,35,8797,-4.398555936625092,-0.001382858226502809,SOTU,0.00031438914189729355,4,1131,-4.398555936625092,-1.580409401717496e-4,UNGD,3.5930187645404975e-5,economic
USA,1981,economy,35,16559,-4.148411783492376,-4.347060005575743e-4,SOTU,1.0478853673287306e-4,3,1661,-4.148411783492376,-3.726051433350637e-5,UNGD,8.981874577103405e-6,economic
USA,1981,food,35,16559,-3.6930374642626003,-3.8698799197975787e-4,SOTU,1.0478853673287306e-4,6,1661,-3.6930374642626003,-6.634079862510134e-5,UNGD,1.796374915420681e-5,economic
CHN,1977,forces,34,9606,-4.1404857182199555,-7.527632539955965e-4,SOTU,1.8180554293017063e-4,11,2880,-4.1404857182199555,-2.4354105276328122e-4,UNGD,5.881944035976109e-5,security
CHN,1997,cultural,34,9678,-3.3081069585961433,-6.014321816786473e-4,SOTU,1.8180554293017063e-4,2,1091,-3.3081069585961433,-3.537836362815573e-5,UNGD,1.0694443701774743e-5,moral
CHN,2002,culture,34,9787,-3.1918471524802814,-5.802955045067967e-4,SOTU,1.8180554293017063e-4,2,851,-3.1918471524802814,-3.4135029676870395e-5,UNGD,1.0694443701774743e-5,moral
CHN,2002,technology,34,9787,-3.7992275112828016,-6.907206204040107e-4,SOTU,1.8180554293017063e-4,2,851,-3.7992275112828016,-4.063062472964769e-5,UNGD,1.0694443701774743e-5,economic
GHA,2014,development,34,9801,-4.398555936625092,-0.0013433479914598718,SOTU,3.0540659498594233e-4,2,1091,-4.398555936625092,-7.90204700858748e-5,UNGD,1.7965093822702488e-5,economic
PHL,1980,rate,34,3978,-3.6971782569286313,-2.2931039586337676e-4,SOTU,6.202308353232406e-5,1,1059,-3.6971782569286313,-6.744423407746376e-6,UNGD,1.8242083391860018e-6,economic
PHL,1984,development,34,3626,-4.398555936625092,-2.72812002278898e-4,SOTU,6.202308353232406e-5,9,1066,-4.398555936625092,-7.221494177970829e-5,UNGD,1.6417875052674017e-5,economic
PHL,1985,rate,34,6276,-3.6971782569286313,-2.2931039586337676e-4,SOTU,6.202308353232406e-5,2,1921,-3.6971782569286313,-1.3488846815492752e-5,UNGD,3.6484166783720036e-6,economic
PHL,1990,democracy,34,5168,-3.867722746531566,-2.3988809098799714e-4,SOTU,6.202308353232406e-5,6,900,-3.867722746531566,-4.233319252729362e-5,UNGD,1.094525003511601e-5,moral
USA,1981,future,34,16559,-4.292739943847116,-4.3697765336790943e-4,SOTU,1.0179457854050527e-4,8,1661,-4.292739943847116,-1.0281827138068456e-4,UNGD,2.3951665538942413e-5,moral
ZAF,2006,development,34,3469,-4.398555936625092,-0.0013574557669533732,SOTU,3.086139602432604e-4,11,830,-4.398555936625092,-4.3917686577903256e-4,UNGD,9.984569301987837e-5,economic
CHN,1982,communist,33,9245,-2.8810693652338513,-5.083886631021217e-4,SOTU,1.7645832107928325e-4,3,1782,-2.8810693652338513,-4.621715119110197e-5,UNGD,1.6041665552662113e-5,moral
CHN,1992,forces,33,8458,-4.1404857182199555,-7.306231582898436e-4,SOTU,1.7645832107928325e-4,2,1554,-4.1404857182199555,-4.428019141150568e-5,UNGD,1.0694443701774743e-5,security
CHN,2012,community,33,11314,-4.267363726353742,-7.530118385870152e-4,SOTU,1.7645832107928325e-4,7,1505,-4.267363726353742,-1.597297839427002e-4,UNGD,3.74305529562116e-5,moral
CHN,2012,developing,33,11314,-4.102643365036796,-7.23945560181454e-4,SOTU,1.7645832107928325e-4,7,1505,-4.102643365036796,-1.5356420973545995e-4,UNGD,3.74305529562116e-5,economic
RUS,2000,economic,33,2710,-4.422848629194137,-9.661477266092521e-4,SOTU,2.1844467392167764e-4,3,1170,-4.422848629194137,-8.783161150993203e-5,UNGD,1.9858606720152514e-5,economic
USA,1996,children,33,2382,-3.8781214537524646,-3.8316080541616417e-4,SOTU,9.880062034813746e-5,8,1139,-3.8781214537524646,-9.288746797967616e-5,UNGD,2.3951665538942413e-5,moral
CHN,1982,revolutionary,32,9245,-2.382627800667582,-4.0769406202436525e-4,SOTU,1.711110992283959e-4,1,1782,-2.382627800667582,-1.2740439438261414e-5,UNGD,5.347221850887372e-6,moral
CHN,1987,democratic,32,9809,-4.028323461124307,-6.892908554805165e-4,SOTU,1.711110992283959e-4,3,2113,-4.028323461124307,-6.462101770129841e-5,UNGD,1.6041665552662113e-5,moral
CHN,2007,developing,32,10438,-4.102643365036796,-7.020078159335312e-4,SOTU,1.711110992283959e-4,9,1185,-4.102643365036796,-1.9743969823130564e-4,UNGD,4.812499665798634e-5,economic
CHN,2012,environment,32,11314,-3.7689221617874726,-6.449044140097166e-4,SOTU,1.711110992283959e-4,4,1505,-3.7689221617874726,-8.061305175121457e-5,UNGD,2.1388887403549487e-5,environmental
CHN,2012,forces,32,11314,-4.1404857182199555,-7.084830625840909e-4,SOTU,1.711110992283959e-4,1,1505,-4.1404857182199555,-2.214009570575284e-5,UNGD,5.347221850887372e-6,security
PHL,1970,trade,32,12668,-4.1404857182199555,-2.4169947441463632e-4,SOTU,5.837466685395206e-5,1,773,-4.1404857182199555,-7.553108575457385e-6,UNGD,1.8242083391860018e-6,economic
PHL,1978,economic,32,7472,-4.422848629194137,-2.5818231527466627e-4,SOTU,5.837466685395206e-5,16,1204,-4.422848629194137,-1.2909115763733313e-4,UNGD,2.918733342697603e-5,economic
PHL,1980,development,32,3978,-4.398555936625092,-2.567642374389628e-4,SOTU,5.837466685395206e-5,4,1059,-4.398555936625092,-3.209552967987035e-5,UNGD,7.296833356744007e-6,economic
PHL,1994,development,32,4344,-4.398555936625092,-2.567642374389628e-4,SOTU,5.837466685395206e-5,17,1430,-4.398555936625092,-1.36406001139449e-4,UNGD,3.101154176616203e-5,economic
RUS,2013,development,32,4078,-4.398555936625092,-9.317247198083178e-4,SOTU,2.1182513834829347e-4,6,770,-4.398555936625092,-1.7469838496405959e-4,UNGD,3.971721344030503e-5,economic
CHN,1977,socialism,31,9606,-1.845826690498331,-3.0597138918389766e-4,SOTU,1.6576387737750851e-4,2,2880,-1.845826690498331,-1.9740089624767593e-5,UNGD,1.0694443701774743e-5,moral
GHA,2016,water,31,9976,-3.5115454388310208,-9.778212707048752e-4,SOTU,2.784589542518886e-4,1,1574,-3.5115454388310208,-3.154262163564113e-5,UNGD,8.982546911351244e-6,environmental
RUS,2006,forces,31,3394,-4.1404857182199555,-8.496508675882292e-4,SOTU,2.052056027749093e-4,1,1173,-4.1404857182199555,-2.7408092502846104e-5,UNGD,6.619535573384171e-6,security
USA,2013,jobs,31,2643,-3.4965075614664802,-3.245203212081846e-4,SOTU,9.281270396340186e-5,1,2258,-3.4965075614664802,-1.0468397458328533e-5,UNGD,2.9939581923678016e-6,economic
PHL,1973,economic,30,5004,-4.422848629194137,-2.4204592056999963e-4,SOTU,5.472625017558005e-5,10,2073,-4.422848629194137,-8.06819735233332e-5,UNGD,1.8242083391860016e-5,economic
PHL,1993,development,30,3454,-4.398555936625092,-2.4071647259902762e-4,SOTU,5.472625017558005e-5,4,1222,-4.398555936625092,-3.209552967987035e-5,UNGD,7.296833356744007e-6,economic
PHL,1993,economy,30,3454,-4.148411783492376,-2.27027021094728e-4,SOTU,5.472625017558005e-5,3,1222,-4.148411783492376,-2.2702702109472802e-5,UNGD,5.472625017558005e-6,economic
PHL,1993,growth,30,3454,-4.127134385045092,-2.258625888642164e-4,SOTU,5.472625017558005e-5,2,1222,-4.127134385045092,-1.5057505924281095e-5,UNGD,3.6484166783720036e-6,economic
PHL,1994,economy,30,4344,-4.148411783492376,-2.27027021094728e-4,SOTU,5.472625017558005e-5,3,1430,-4.148411783492376,-2.2702702109472802e-5,UNGD,5.472625017558005e-6,economic
PHL,1996,economic,30,4198,-4.422848629194137,-2.4204592056999963e-4,SOTU,5.472625017558005e-5,13,1335,-4.422848629194137,-1.0488656558033318e-4,UNGD,2.3714708409418024e-5,economic
PHL,1999,war,30,5662,-4.265024544000569,-2.334088001999644e-4,SOTU,5.472625017558005e-5,4,1193,-4.265024544000569,-3.112117335999525e-5,UNGD,7.296833356744007e-6,security
PHL,2017,peace,30,10176,-4.396504653854535,-2.4060421358494528e-4,SOTU,5.472625017558005e-5,11,1508,-4.396504653854535,-8.82215449811466e-5,UNGD,2.006629173104602e-5,security
RUS,2001,economic,30,3127,-4.422848629194137,-8.783161150993202e-4,SOTU,1.9858606720152513e-4,1,456,-4.422848629194137,-2.9277203836644007e-5,UNGD,6.619535573384171e-6,economic
USA,1999,security,30,2999,-4.400603020246817,-3.9525664391479347e-4,SOTU,8.981874577103405e-5,2,1319,-4.400603020246817,-2.6350442927652895e-5,UNGD,5.987916384735603e-6,security
